	RT	distractor_position	key_pressed	set_size	target_ecc	target_orientation	target_position
0	3.104782773054467	[[194.02075654445053, -336.05380805794067], [646.7358551481693, 0.0], [-194.0207565444508, 2.3760689847030953e-14], [-274.3867852870509, -274.3867852870506]]	right	5	4	right	[ -1.29347171e+02   1.58404599e-14]
1	5.022814858908532	[[-430.1929685937628, -287.44575179744], [-190.0708988924275, 261.6101488432417], [615.0823493603849, 199.85237011239863], [-91.46226176235028, -91.46226176235025], [-507.44720563065624, 100.93752499218613], [274.38678528705077, 274.3867852870507], [274.38678528705066, -274.3867852870508], [1.1880344923515477e-14, 194.0207565444508], [407.8822098713244, 196.42571973715542], [646.7358551481693, 0.0], [2.3760689847030953e-14, 388.0415130889016], [-323.36792757408466, 3.960114974505159e-14], [388.0415130889016, 0.0], [194.02075654445053, -336.05380805794067]]	right	15	12	right	[-274.38678529 -274.38678529]
2	2.724520870286142	[[100.43253387780689, 374.8193191648575], [507.4472056306562, -100.93752499218618], [307.54117468019246, 99.92618505619932], [-239.0024078050312, -98.99803875266916]]	right	5	8	right	[ -98.99803875 -239.00240781]
3	2.7200826521202544	[[638.7734635746727, 101.17177752244011], [2.3760689847030953e-14, 388.0415130889016], [-374.8193191648575, 100.43253387780692], [274.38678528705077, 274.3867852870507], [190.07089889242746, -261.6101488432417], [190.07089889242752, 261.6101488432417], [-546.9596196123589, 199.07702088446328], [-2.3760689847030953e-14, -129.34717102963387], [282.26324712688955, 353.94691667700556], [-3.564103477054643e-14, -194.0207565444508], [64.67358551481693, 0.0], [307.54117468019246, 99.92618505619932], [307.54117468019246, -99.92618505619939], [261.61014884324163, -190.0708988924276]]	right	15	8	right	[-239.00240781  -98.99803875]
4	5.151567088993033	[[-98.99803875266933, -239.0024078050311], [-478.00481561006234, 197.99607750533843], [168.02690402897022, -97.01037827222548], [3.96011497450516e-15, 64.67358551481693], [-194.0207565444508, 2.3760689847030953e-14], [307.54117468019246, 99.92618505619932], [-374.8193191648575, 100.43253387780692], [-407.88220987132433, 196.42571973715548], [407.8822098713244, 196.42571973715542], [-336.0538080579406, -194.02075654445068], [-97.01037827222535, 168.02690402897028], [-239.00240780503117, 98.99803875266922], [-430.19296859376277, 287.4457517974401], [573.2194358708077, -101.07405241050911], [91.46226176235027, 91.46226176235025], [-517.3886841185355, 6.336183959208255e-14], [-190.07089889242758, -261.61014884324163], [-365.849047049401, 365.84904704940107], [97.01037827222542, 168.02690402897025], [168.02690402897028, 97.01037827222538], [638.7734635746727, 101.17177752244011], [7.92022994901032e-15, 129.34717102963387], [504.0807120869108, 291.0311348166761], [99.92618505619933, 307.54117468019246], [-196.4257197371555, -407.88220987132433], [615.0823493603849, 199.85237011239863], [-365.8490470494011, -365.849047049401], [407.88220987132433, -196.42571973715553], [-194.0207565444507, 336.05380805794056]]	right	30	8	right	[ 239.00240781  -98.99803875]
5	1.6873818675067014	[[336.05380805794056, 194.02075654445076], [-274.3867852870509, -274.3867852870506], [-190.0708988924275, 261.6101488432417], [100.73858655742444, 441.3645858949117], [239.0024078050311, -98.99803875266934], [194.02075654445053, -336.05380805794067], [-3.564103477054643e-14, -194.0207565444508], [546.9596196123588, -199.07702088446362], [1.584045989802064e-14, 258.69434205926774], [-615.0823493603849, 199.85237011239872], [-4.7521379694061906e-14, -258.69434205926774], [388.0415130889016, 0.0], [-100.43253387780712, -374.8193191648575], [-99.9261850561993, 307.5411746801925], [91.46226176235027, 91.46226176235025], [478.0048156100622, -197.9960775053387], [-196.4257197371555, -407.88220987132433], [-168.02690402897022, 97.01037827222547], [-615.082349360385, -199.85237011239857], [-239.0024078050312, -98.99803875266916], [-190.07089889242758, -261.61014884324163], [-323.36792757408466, 3.960114974505159e-14], [-478.00481561006234, 197.99607750533843], [-98.99803875266917, 239.00240780503117], [-99.92618505619937, -307.54117468019246], [-91.46226176235025, 91.46226176235027], [441.3645858949117, 100.73858655742441], [99.92618505619933, 307.54117468019246], [-638.7734635746727, -101.17177752244002]]	left	30	4	left	[  7.92022995e-15   1.29347171e+02]
6	4.800818139678086	[[-1.1880344923515477e-14, -64.67358551481693], [-182.92452352470056, -182.9245235247005], [-388.0415130889016, 4.7521379694061906e-14], [64.67358551481693, 0.0], [-4.7521379694061906e-14, -258.69434205926774], [-307.5411746801925, -99.92618505619929], [638.7734635746727, 101.17177752244011], [336.05380805794056, 194.02075654445076], [-353.9469166770056, -282.26324712688944], [-97.01037827222535, 168.02690402897028], [711.4094406629863, 0.0], [1.584045989802064e-14, 258.69434205926774], [190.07089889242752, 261.6101488432417], [-194.02075654445096, -336.05380805794044]]	right	15	12	right	[-336.05380806  194.02075654]
7	1.550183395796921	[[-353.94691667700556, 282.26324712688955], [196.42571973715536, -407.8822098713244], [-615.0823493603849, 199.85237011239872], [168.02690402897022, -97.01037827222548], [646.7358551481693, 0.0], [638.7734635746727, 101.17177752244011], [407.8822098713244, 196.42571973715542], [374.8193191648576, 100.4325338778068], [-194.02075654445096, -336.05380805794044], [-307.54117468019246, 99.92618505619936], [100.73858655742444, 441.3645858949117], [-336.0538080579406, -194.02075654445068], [-99.9261850561993, 307.5411746801925], [-258.69434205926774, 3.168091979604128e-14], [-407.88220987132433, 196.42571973715548], [307.54117468019246, -99.92618505619939], [-573.2194358708077, -101.0740524105089], [274.38678528705077, 274.3867852870507], [97.01037827222542, 168.02690402897025], [168.02690402897028, 97.01037827222538], [-430.1929685937628, -287.44575179744], [258.69434205926774, 0.0], [-407.8822098713244, -196.42571973715536], [239.0024078050311, -98.99803875266934], [-100.43253387780712, -374.8193191648575], [582.0622696333523, 0.0], [-196.4257197371554, 407.8822098713244], [98.9980387526692, 239.00240780503117], [711.4094406629863, 0.0]]	left	30	4	left	[  7.92022995e-15   1.29347171e+02]
8	2.8457089146941144	[[3.96011497450516e-15, 64.67358551481693], [-336.0538080579406, -194.02075654445068], [478.00481561006234, 197.99607750533838], [615.0823493603849, -199.85237011239877], [638.7734635746726, -101.17177752244027], [-430.1929685937628, -287.44575179744], [430.1929685937627, -287.4457517974401], [-168.02690402897022, 97.01037827222547], [-517.3886841185355, 6.336183959208255e-14], [168.02690402897022, -97.01037827222548], [-353.9469166770056, -282.26324712688944], [-388.0415130889016, 4.7521379694061906e-14], [-64.67358551481693, 7.92022994901032e-15], [100.43253387780689, 374.8193191648575]]	left	15	4	left	[-91.46226176 -91.46226176]
9	1.9805303397024545	[[-239.0024078050312, -98.99803875266916], [-441.3645858949117, -100.73858655742437], [97.01037827222542, 168.02690402897025], [-646.7358551481693, 7.920229949010318e-14]]	right	5	4	right	[ 91.46226176 -91.46226176]
10	1.3716696971296187	[[-261.61014884324163, 190.07089889242758], [-196.4257197371554, 407.8822098713244], [573.2194358708077, 101.07405241050907], [-100.73858655742438, 441.3645858949117]]	left	5	4	left	[-91.46226176 -91.46226176]
11	1.67854021166022	[[100.73858655742444, 441.3645858949117], [-615.082349360385, -199.85237011239857], [-478.0048156100624, -197.99607750533832], [190.07089889242746, -261.6101488432417], [638.7734635746727, 101.17177752244011], [-353.94691667700556, 282.26324712688955], [239.00240780503117, 98.99803875266919], [-182.92452352470056, -182.9245235247005], [-430.1929685937628, -287.44575179744], [-97.01037827222548, -168.02690402897022], [2.7720804821536115e-14, 452.71509860371856], [-638.7734635746727, -101.17177752244002], [307.54117468019246, 99.92618505619932], [274.38678528705077, 274.3867852870507], [-546.9596196123589, 199.07702088446328], [274.38678528705066, -274.3867852870508], [100.43253387780689, 374.8193191648575], [-365.8490470494011, -365.849047049401], [261.6101488432417, 190.07089889242752], [168.02690402897022, -97.01037827222548], [7.92022994901032e-15, 129.34717102963387], [-478.00481561006234, 197.99607750533843], [615.0823493603849, 199.85237011239863], [98.9980387526692, 239.00240780503117], [-1.1880344923515477e-14, -64.67358551481693], [196.42571973715545, 407.8822098713244], [-100.43253387780676, 374.8193191648576], [99.92618505619933, 307.54117468019246], [2.3760689847030953e-14, 388.0415130889016]]	left	30	4	left	[ 91.46226176  91.46226176]
12	1.1068892731855158	[[546.9596196123589, 199.0770208844632], [1.1880344923515477e-14, 194.0207565444508], [-194.0207565444507, 336.05380805794056], [-407.8822098713244, -196.42571973715536]]	right	5	12	right	[ 274.38678529  274.38678529]
13	2.4609073031624575	[[196.42571973715545, 407.8822098713244], [452.71509860371856, 0.0], [-182.92452352470056, -182.9245235247005], [546.9596196123589, 199.0770208844632], [-99.9261850561993, 307.5411746801925], [-5.940172461757739e-14, -323.36792757408466], [-478.00481561006234, 197.99607750533843], [573.2194358708077, 101.07405241050907], [-336.05380805794044, 194.02075654445093], [-196.4257197371554, 407.8822098713244], [430.1929685937627, 287.4457517974401], [-282.26324712688955, -353.9469166770055], [1.1880344923515477e-14, 194.0207565444508], [-258.69434205926774, 3.168091979604128e-14]]	right	15	12	right	[ 100.43253388 -374.81931916]
14	1.226561800647687	[[615.0823493603849, 199.85237011239863], [546.9596196123588, -199.07702088446362], [-168.02690402897022, 97.01037827222547], [336.05380805794056, 194.02075654445076], [91.46226176235024, -91.46226176235028], [-91.46226176235028, -91.46226176235025], [91.46226176235027, 91.46226176235025], [-97.01037827222548, -168.02690402897022], [98.99803875266925, -239.00240780503114], [-507.44720563065624, 100.93752499218613], [274.38678528705066, -274.3867852870508], [441.36458589491167, -100.73858655742453], [407.8822098713244, 196.42571973715542], [-374.81931916485763, -100.43253387780666], [-1.1880344923515477e-14, -64.67358551481693], [-239.00240780503117, 98.99803875266922], [7.92022994901032e-15, 129.34717102963387], [97.01037827222527, -168.02690402897034], [-638.7734635746727, -101.17177752244002], [99.92618505619926, -307.5411746801925], [615.0823493603849, -199.85237011239877], [-91.46226176235025, 91.46226176235027], [-258.69434205926774, 3.168091979604128e-14], [-582.0622696333523, 7.128206954109286e-14], [98.9980387526692, 239.00240780503117], [196.42571973715545, 407.8822098713244], [239.00240780503117, 98.99803875266919], [168.02690402897022, -97.01037827222548], [-261.61014884324163, 190.07089889242758]]	left	30	4	left	[ 129.34717103    0.        ]
15	1.2481801537978754	[[-100.43253387780712, -374.8193191648575], [374.8193191648575, -100.43253387780713], [-646.7358551481693, 7.920229949010318e-14], [-182.9245235247005, 182.92452352470053], [-7.128206954109286e-14, -388.0415130889016], [3.96011497450516e-15, 64.67358551481693], [-365.849047049401, 365.84904704940107], [-91.46226176235025, 91.46226176235027], [-407.8822098713244, -196.42571973715536], [7.92022994901032e-15, 129.34717102963387], [-407.88220987132433, 196.42571973715548], [-546.9596196123589, 199.07702088446328], [407.88220987132433, -196.42571973715553], [504.0807120869106, -291.03113481667646]]	right	15	8	right	[ 258.69434206    0.        ]
16	2.0705003315542854	[[-638.7734635746726, 101.17177752244018], [-182.9245235247005, 182.92452352470053], [-282.2632471268895, 353.9469166770056], [-194.0207565444507, 336.05380805794056], [2.3760689847030953e-14, 388.0415130889016], [190.07089889242746, -261.6101488432417], [64.67358551481693, 0.0], [91.46226176235027, 91.46226176235025], [-194.0207565444508, 2.3760689847030953e-14], [-452.71509860371856, 5.544160964307223e-14], [-546.9596196123589, 199.07702088446328], [-1.1880344923515477e-14, -64.67358551481693], [-274.3867852870509, -274.3867852870506], [638.7734635746727, 101.17177752244011]]	right	15	4	right	[-91.46226176  91.46226176]
17	0.9861599320811365	[[1.584045989802064e-14, 258.69434205926774], [129.34717102963387, 0.0], [261.6101488432417, 190.07089889242752], [274.38678528705066, -274.3867852870508], [504.0807120869108, 291.0311348166761], [441.3645858949117, 100.73858655742441], [261.61014884324163, -190.0708988924276], [-365.8490470494011, -365.849047049401], [-2.3760689847030953e-14, -129.34717102963387], [-336.0538080579406, -194.02075654445068], [-3.564103477054643e-14, -194.0207565444508], [507.4472056306562, -100.93752499218618], [365.84904704940095, -365.8490470494011], [-504.0807120869108, 291.0311348166761]]	left	15	8	left	[ -98.99803875 -239.00240781]
18	2.8168228652612015	[[388.0415130889016, 0.0], [-194.0207565444508, 2.3760689847030953e-14], [282.26324712688955, 353.94691667700556], [239.0024078050311, -98.99803875266934]]	left	5	12	left	[-374.81931916  100.43253388]
19	1.1504720738357719	[[168.02690402897028, 97.01037827222538], [323.36792757408466, 0.0], [-182.92452352470056, -182.9245235247005], [91.46226176235024, -91.46226176235028]]	right	5	12	right	[ 388.04151309    0.        ]
20	1.3629446414397535	[[-190.07089889242758, -261.61014884324163], [99.92618505619933, 307.54117468019246], [638.7734635746727, 101.17177752244011], [307.54117468019246, -99.92618505619939], [407.88220987132433, -196.42571973715553], [64.67358551481693, 0.0], [-274.3867852870507, 274.38678528705077], [-4.7521379694061906e-14, -258.69434205926774], [1.584045989802064e-14, 258.69434205926774], [-507.44720563065624, 100.93752499218613], [365.84904704940095, -365.8490470494011], [-100.7385865574245, -441.3645858949117], [-478.0048156100624, -197.99607750533832], [478.00481561006234, 197.99607750533838], [441.3645858949117, 100.73858655742441], [-196.4257197371554, 407.8822098713244], [407.8822098713244, 196.42571973715542], [-615.082349360385, -199.85237011239857], [646.7358551481693, 0.0], [3.96011497450516e-15, 64.67358551481693], [-182.9245235247005, 182.92452352470053], [-546.9596196123589, -199.07702088446317], [261.61014884324163, -190.0708988924276], [-430.19296859376277, 287.4457517974401], [-336.05380805794044, 194.02075654445093], [-8.316241446460834e-14, -452.71509860371856], [98.99803875266925, -239.00240780503114], [-282.26324712688955, -353.9469166770055], [507.4472056306562, -100.93752499218618]]	right	30	8	right	[-182.92452352 -182.92452352]
21	1.2068726241650438	[[374.8193191648575, -100.43253387780713], [100.73858655742444, 441.3645858949117], [-5.940172461757739e-14, -323.36792757408466], [91.46226176235027, 91.46226176235025]]	left	5	8	left	[ 258.69434206    0.        ]
22	5.619892898908802	[[-638.7734635746727, -101.17177752244002], [7.92022994901032e-15, 129.34717102963387], [-573.2194358708077, 101.07405241050928], [615.0823493603849, 199.85237011239863], [-261.6101488432417, -190.0708988924275], [-100.43253387780712, -374.8193191648575], [-8.316241446460834e-14, -452.71509860371856], [129.34717102963387, 0.0], [-336.05380805794044, 194.02075654445093], [441.36458589491167, -100.73858655742453], [-307.54117468019246, 99.92618505619936], [-365.849047049401, 365.84904704940107], [-374.81931916485763, -100.43253387780666], [365.84904704940107, 365.849047049401]]	right	15	12	right	[ 194.02075654 -336.05380806]
23	0.730594911670778	[[-407.88220987132433, 196.42571973715548], [365.84904704940107, 365.849047049401], [-274.3867852870509, -274.3867852870506], [353.94691667700556, 282.2632471268895], [582.0622696333523, 0.0], [-5.940172461757739e-14, -323.36792757408466], [-507.44720563065624, -100.937524992186], [-168.02690402897022, 97.01037827222547], [-190.0708988924275, 261.6101488432417], [615.0823493603849, 199.85237011239863], [196.42571973715545, 407.8822098713244], [-478.00481561006234, 197.99607750533843], [452.71509860371856, 0.0], [-97.01037827222535, 168.02690402897028]]	right	15	4	right	[ 129.34717103    0.        ]
24	1.730779647372401	[[274.38678528705066, -274.3867852870508], [-615.0823493603849, 199.85237011239872], [573.2194358708077, 101.07405241050907], [129.34717102963387, 0.0]]	right	5	12	right	[ 336.05380806 -194.02075654]
25	2.070504607843759	[[430.1929685937627, -287.4457517974401], [-258.69434205926774, 3.168091979604128e-14], [2.7720804821536115e-14, 452.71509860371856], [239.0024078050311, -98.99803875266934], [307.54117468019246, 99.92618505619932], [261.61014884324163, -190.0708988924276], [-407.88220987132433, 196.42571973715548], [239.00240780503117, 98.99803875266919], [374.8193191648576, 100.4325338778068], [-282.26324712688955, -353.9469166770055], [353.9469166770055, -282.26324712688955], [-196.4257197371555, -407.88220987132433], [190.07089889242746, -261.6101488432417], [3.96011497450516e-15, 64.67358551481693], [-194.0207565444508, 2.3760689847030953e-14], [-64.67358551481693, 7.92022994901032e-15], [282.26324712688944, -353.9469166770056], [-582.0622696333523, 7.128206954109286e-14], [168.02690402897022, -97.01037827222548], [388.0415130889016, 0.0], [-573.2194358708077, -101.0740524105089], [282.26324712688955, 353.94691667700556], [-504.08071208691086, -291.031134816676], [100.73858655742434, -441.3645858949117], [-129.34717102963387, 1.584045989802064e-14], [-323.36792757408466, 3.960114974505159e-14], [-336.05380805794044, 194.02075654445093], [-274.3867852870507, 274.38678528705077], [-182.9245235247005, 182.92452352470053]]	right	30	8	right	[ 258.69434206    0.        ]
26	2.1868752697628224	[[336.05380805794056, 194.02075654445076], [-91.46226176235025, 91.46226176235027], [-365.849047049401, 365.84904704940107], [-353.94691667700556, 282.26324712688955], [182.92452352470053, 182.9245235247005], [638.7734635746727, 101.17177752244011], [100.73858655742444, 441.3645858949117], [239.00240780503117, 98.99803875266919], [-282.26324712688955, -353.9469166770055], [91.46226176235027, 91.46226176235025], [-168.02690402897022, 97.01037827222547], [129.34717102963387, 0.0], [-517.3886841185355, 6.336183959208255e-14], [190.07089889242746, -261.6101488432417], [-190.0708988924275, 261.6101488432417], [507.44720563065624, 100.93752499218594], [-274.3867852870507, 274.38678528705077], [-261.6101488432417, -190.0708988924275], [2.7720804821536115e-14, 452.71509860371856], [97.01037827222527, -168.02690402897034], [-100.7385865574245, -441.3645858949117], [517.3886841185355, 0.0], [-573.2194358708077, -101.0740524105089], [615.0823493603849, -199.85237011239877], [-194.02075654445096, -336.05380805794044], [441.36458589491167, -100.73858655742453], [-307.5411746801925, -99.92618505619929], [-323.36792757408466, 3.960114974505159e-14], [196.42571973715536, -407.8822098713244]]	right	30	8	right	[  98.99803875 -239.00240781]
27	1.5933103440020204	[[-5.940172461757739e-14, -323.36792757408466], [-239.0024078050312, -98.99803875266916], [274.38678528705077, 274.3867852870507], [-64.67358551481693, 7.92022994901032e-15], [7.92022994901032e-15, 129.34717102963387], [-546.9596196123589, 199.07702088446328], [182.92452352470053, 182.9245235247005], [-194.02075654445096, -336.05380805794044], [-441.3645858949117, 100.73858655742447], [-182.9245235247005, 182.92452352470053], [-504.08071208691086, -291.031134816676], [-129.34717102963387, 1.584045989802064e-14], [97.01037827222527, -168.02690402897034], [-441.3645858949117, -100.73858655742437]]	left	15	4	left	[ 91.46226176 -91.46226176]
28	1.6329008009215613	[[-91.46226176235025, 91.46226176235027], [-407.88220987132433, 196.42571973715548], [478.0048156100622, -197.9960775053387], [-100.73858655742438, 441.3645858949117], [353.94691667700556, 282.2632471268895], [239.00240780503117, 98.99803875266919], [-196.4257197371555, -407.88220987132433], [-99.92618505619937, -307.54117468019246], [441.36458589491167, -100.73858655742453], [573.2194358708077, 101.07405241050907], [99.92618505619926, -307.5411746801925], [323.36792757408466, 0.0], [182.92452352470053, 182.9245235247005], [-282.26324712688955, -353.9469166770055]]	left	15	4	left	[  7.92022995e-15   1.29347171e+02]
29	1.4252826769788953	[[-504.0807120869108, 291.0311348166761], [100.43253387780663, -374.81931916485763], [196.42571973715536, -407.8822098713244], [-2.3760689847030953e-14, -129.34717102963387], [-336.05380805794044, 194.02075654445093], [-282.2632471268895, 353.9469166770056], [478.0048156100622, -197.9960775053387], [99.92618505619933, 307.54117468019246], [-99.92618505619937, -307.54117468019246], [-4.7521379694061906e-14, -258.69434205926774], [-441.3645858949117, 100.73858655742447], [182.92452352470053, 182.9245235247005], [-239.00240780503117, 98.99803875266922], [91.46226176235027, 91.46226176235025]]	right	15	12	right	[ 388.04151309    0.        ]
30	1.7472846988111996	[[168.02690402897028, 97.01037827222538], [-97.01037827222548, -168.02690402897022], [388.0415130889016, 0.0], [-274.3867852870507, 274.38678528705077], [-573.2194358708077, -101.0740524105089], [258.69434205926774, 0.0], [638.7734635746726, -101.17177752244027], [-365.8490470494011, -365.849047049401], [-282.26324712688955, -353.9469166770055], [-504.0807120869108, 291.0311348166761], [98.9980387526692, 239.00240780503117], [-1.1880344923515477e-14, -64.67358551481693], [-239.0024078050312, -98.99803875266916], [-646.7358551481693, 7.920229949010318e-14]]	right	15	4	right	[ -1.29347171e+02   1.58404599e-14]
31	0.9745307057546597	[[388.0415130889016, 0.0], [-91.46226176235025, 91.46226176235027], [-168.0269040289703, -97.01037827222534], [196.42571973715536, -407.8822098713244], [-129.34717102963387, 1.584045989802064e-14], [-615.0823493603849, 199.85237011239872], [190.07089889242752, 261.6101488432417], [2.7720804821536115e-14, 452.71509860371856], [-99.92618505619937, -307.54117468019246], [1.584045989802064e-14, 258.69434205926774], [-430.1929685937628, -287.44575179744], [507.4472056306562, -100.93752499218618], [504.0807120869106, -291.03113481667646], [-100.43253387780712, -374.8193191648575]]	left	15	4	left	[ 91.46226176  91.46226176]
32	1.1247841186595906	[[-546.9596196123589, 199.07702088446328], [-638.7734635746726, 101.17177752244018], [3.96011497450516e-15, 64.67358551481693], [638.7734635746727, 101.17177752244011]]	left	5	4	left	[ -2.37606898e-14  -1.29347171e+02]
33	1.6552255970691476	[[239.00240780503117, 98.99803875266919], [374.8193191648575, -100.43253387780713], [196.42571973715536, -407.8822098713244], [-97.01037827222548, -168.02690402897022], [190.07089889242752, 261.6101488432417], [-323.36792757408466, 3.960114974505159e-14], [-2.3760689847030953e-14, -129.34717102963387], [194.02075654445053, -336.05380805794067], [323.36792757408466, 0.0], [-129.34717102963387, 1.584045989802064e-14], [-64.67358551481693, 7.92022994901032e-15], [615.0823493603849, 199.85237011239863], [-100.7385865574245, -441.3645858949117], [441.3645858949117, 100.73858655742441]]	right	15	12	right	[ 388.04151309    0.        ]
34	1.48329453313454	[[-336.05380805794044, 194.02075654445093], [-504.0807120869108, 291.0311348166761], [-336.0538080579406, -194.02075654445068], [336.05380805794044, -194.02075654445096], [-98.99803875266933, -239.0024078050311], [-365.8490470494011, -365.849047049401], [-8.316241446460834e-14, -452.71509860371856], [261.6101488432417, 190.07089889242752], [64.67358551481693, 0.0], [129.34717102963387, 0.0], [-353.9469166770056, -282.26324712688944], [7.92022994901032e-15, 129.34717102963387], [-182.9245235247005, 182.92452352470053], [-190.07089889242758, -261.61014884324163]]	left	15	12	left	[ 374.81931916 -100.43253388]
35	1.3441492094279965	[[546.9596196123588, -199.07702088446362], [-282.26324712688955, -353.9469166770055], [407.8822098713244, 196.42571973715542], [2.7720804821536115e-14, 452.71509860371856], [7.92022994901032e-15, 129.34717102963387], [168.02690402897028, 97.01037827222538], [-323.36792757408466, 3.960114974505159e-14], [353.9469166770055, -282.26324712688955], [-91.46226176235025, 91.46226176235027], [-261.61014884324163, 190.07089889242758], [-546.9596196123589, 199.07702088446328], [-573.2194358708077, -101.0740524105089], [-353.94691667700556, 282.26324712688955], [336.05380805794044, -194.02075654445096], [3.96011497450516e-15, 64.67358551481693], [615.0823493603849, -199.85237011239877], [1.584045989802064e-14, 258.69434205926774], [-274.3867852870507, 274.38678528705077], [-638.7734635746726, 101.17177752244018], [-5.940172461757739e-14, -323.36792757408466], [-711.4094406629863, 8.712252943911351e-14], [441.36458589491167, -100.73858655742453], [-307.54117468019246, 99.92618505619936], [-582.0622696333523, 7.128206954109286e-14], [-646.7358551481693, 7.920229949010318e-14], [323.36792757408466, 0.0], [-336.0538080579406, -194.02075654445068], [261.61014884324163, -190.0708988924276], [452.71509860371856, 0.0]]	right	30	4	right	[ -2.37606898e-14  -1.29347171e+02]
36	0.8076362554074876	[[274.38678528705077, 274.3867852870507], [-194.02075654445096, -336.05380805794044], [-407.8822098713244, -196.42571973715536], [-365.849047049401, 365.84904704940107]]	left	5	8	left	[ 239.00240781   98.99803875]
