	RT	distractor_position	key_pressed	set_size	target_ecc	target_orientation	target_position
0	1.4974776739582012	[[-507.44720563065624, 100.93752499218613], [-336.0538080579406, -194.02075654445068], [307.54117468019246, 99.92618505619932], [546.9596196123589, 199.0770208844632]]	left	5	12	left	[ -7.12820695e-14  -3.88041513e+02]
1	1.1275169449850182	[[239.00240780503117, 98.99803875266919], [388.0415130889016, 0.0], [504.0807120869108, 291.0311348166761], [307.54117468019246, 99.92618505619932], [546.9596196123588, -199.07702088446362], [261.61014884324163, -190.0708988924276], [274.38678528705066, -274.3867852870508], [615.0823493603849, -199.85237011239877], [97.01037827222542, 168.02690402897025], [478.0048156100622, -197.9960775053387], [258.69434205926774, 0.0], [-307.5411746801925, -99.92618505619929], [-478.0048156100624, -197.99607750533832], [-168.0269040289703, -97.01037827222534], [-507.44720563065624, 100.93752499218613], [-190.0708988924275, 261.6101488432417], [646.7358551481693, 0.0], [-274.3867852870509, -274.3867852870506], [582.0622696333523, 0.0], [-258.69434205926774, 3.168091979604128e-14], [336.05380805794044, -194.02075654445096], [100.43253387780689, 374.8193191648575], [-100.7385865574245, -441.3645858949117], [-430.1929685937628, -287.44575179744], [-582.0622696333523, 7.128206954109286e-14], [-546.9596196123589, 199.07702088446328], [-196.4257197371555, -407.88220987132433], [507.4472056306562, -100.93752499218618], [-194.0207565444507, 336.05380805794056]]	right	30	4	right	[  7.92022995e-15   1.29347171e+02]
2	2.7262782327325112	[[1.1880344923515477e-14, 194.0207565444508], [-100.43253387780712, -374.8193191648575], [-190.07089889242758, -261.61014884324163], [258.69434205926774, 0.0], [-374.8193191648575, 100.43253387780692], [-100.73858655742438, 441.3645858949117], [64.67358551481693, 0.0], [615.0823493603849, -199.85237011239877], [98.9980387526692, 239.00240780503117], [353.94691667700556, 282.2632471268895], [-582.0622696333523, 7.128206954109286e-14], [182.92452352470048, -182.92452352470056], [-546.9596196123589, 199.07702088446328], [-615.0823493603849, 199.85237011239872], [-407.8822098713244, -196.42571973715536], [-98.99803875266933, -239.0024078050311], [99.92618505619926, -307.5411746801925], [-261.61014884324163, 190.07089889242758], [-1.1880344923515477e-14, -64.67358551481693], [100.43253387780689, 374.8193191648575], [-452.71509860371856, 5.544160964307223e-14], [194.0207565444508, 0.0], [-407.88220987132433, 196.42571973715548], [-504.08071208691086, -291.031134816676], [-323.36792757408466, 3.960114974505159e-14], [-2.3760689847030953e-14, -129.34717102963387], [430.1929685937627, -287.4457517974401], [-274.3867852870509, -274.3867852870506], [2.3760689847030953e-14, 388.0415130889016]]	left	30	8	left	[  98.99803875 -239.00240781]
3	0.9423529831015003	[[546.9596196123589, 199.0770208844632], [-261.61014884324163, 190.07089889242758], [407.8822098713244, 196.42571973715542], [365.84904704940107, 365.849047049401], [-615.0823493603849, 199.85237011239872], [-97.01037827222548, -168.02690402897022], [638.7734635746727, 101.17177752244011], [-98.99803875266933, -239.0024078050311], [-517.3886841185355, 6.336183959208255e-14], [1.1880344923515477e-14, 194.0207565444508], [430.1929685937627, -287.4457517974401], [190.07089889242746, -261.6101488432417], [336.05380805794044, -194.02075654445096], [-3.564103477054643e-14, -194.0207565444508], [-194.0207565444508, 2.3760689847030953e-14], [-407.88220987132433, 196.42571973715548], [646.7358551481693, 0.0], [99.92618505619933, 307.54117468019246], [365.84904704940095, -365.8490470494011], [507.4472056306562, -100.93752499218618], [-615.082349360385, -199.85237011239857], [-573.2194358708077, 101.07405241050928], [182.92452352470048, -182.92452352470056], [98.99803875266925, -239.00240780503114], [-638.7734635746726, 101.17177752244018], [-100.43253387780676, 374.8193191648576], [441.3645858949117, 100.73858655742441], [-5.940172461757739e-14, -323.36792757408466], [-323.36792757408466, 3.960114974505159e-14]]	right	30	4	right	[ 129.34717103    0.        ]
4	0.6627555289469456	[[-91.46226176235025, 91.46226176235027], [100.73858655742434, -441.3645858949117], [407.88220987132433, -196.42571973715553], [-353.9469166770056, -282.26324712688944], [-168.02690402897022, 97.01037827222547], [-98.99803875266933, -239.0024078050311], [-430.1929685937628, -287.44575179744], [-546.9596196123589, 199.07702088446328], [-99.9261850561993, 307.5411746801925], [365.84904704940095, -365.8490470494011], [-196.4257197371554, 407.8822098713244], [194.02075654445053, -336.05380805794067], [-97.01037827222548, -168.02690402897022], [-407.8822098713244, -196.42571973715536]]	left	15	4	left	[-91.46226176 -91.46226176]
5	1.9437618935617138	[[91.46226176235027, 91.46226176235025], [-168.0269040289703, -97.01037827222534], [129.34717102963387, 0.0], [182.92452352470048, -182.92452352470056]]	left	5	12	left	[ 374.81931916  100.43253388]
6	5.724942590177307	[[-182.92452352470056, -182.9245235247005], [374.8193191648575, -100.43253387780713], [-615.0823493603849, 199.85237011239872], [100.73858655742444, 441.3645858949117], [282.26324712688955, 353.94691667700556], [-638.7734635746727, -101.17177752244002], [-261.61014884324163, 190.07089889242758], [-239.00240780503117, 98.99803875266922], [-194.0207565444507, 336.05380805794056], [2.7720804821536115e-14, 452.71509860371856], [91.46226176235027, 91.46226176235025], [-407.88220987132433, 196.42571973715548], [-100.7385865574245, -441.3645858949117], [196.42571973715545, 407.8822098713244], [-194.0207565444508, 2.3760689847030953e-14], [-97.01037827222535, 168.02690402897028], [507.4472056306562, -100.93752499218618], [100.43253387780689, 374.8193191648575], [-573.2194358708077, -101.0740524105089], [-129.34717102963387, 1.584045989802064e-14], [1.584045989802064e-14, 258.69434205926774], [-258.69434205926774, 3.168091979604128e-14], [-98.99803875266933, -239.0024078050311], [-507.44720563065624, -100.937524992186], [638.7734635746726, -101.17177752244027], [-374.8193191648575, 100.43253387780692], [-323.36792757408466, 3.960114974505159e-14], [-239.0024078050312, -98.99803875266916], [336.05380805794044, -194.02075654445096]]	left	30	12	right	[-100.43253388  374.81931916]
7	1.3651045208007417	[[-8.316241446460834e-14, -452.71509860371856], [1.584045989802064e-14, 258.69434205926774], [407.8822098713244, 196.42571973715542], [441.36458589491167, -100.73858655742453]]	right	5	12	right	[ 100.43253388  374.81931916]
8	5.7932827300132885	[[-91.46226176235028, -91.46226176235025], [646.7358551481693, 0.0], [374.8193191648575, -100.43253387780713], [-452.71509860371856, 5.544160964307223e-14], [-194.0207565444507, 336.05380805794056], [546.9596196123589, 199.0770208844632], [1.584045989802064e-14, 258.69434205926774], [-441.3645858949117, -100.73858655742437], [-258.69434205926774, 3.168091979604128e-14], [-274.3867852870509, -274.3867852870506], [-478.00481561006234, 197.99607750533843], [2.3760689847030953e-14, 388.0415130889016], [1.9800574872525794e-14, 323.36792757408466], [546.9596196123588, -199.07702088446362]]	left	15	8	left	[  98.99803875 -239.00240781]
9	0.8471104078912504	[[-182.9245235247005, 182.92452352470053], [-8.316241446460834e-14, -452.71509860371856], [-430.19296859376277, 287.4457517974401], [-261.6101488432417, -190.0708988924275], [336.05380805794056, 194.02075654445076], [-91.46226176235028, -91.46226176235025], [-2.3760689847030953e-14, -129.34717102963387], [407.8822098713244, 196.42571973715542], [615.0823493603849, 199.85237011239863], [615.0823493603849, -199.85237011239877], [353.9469166770055, -282.26324712688955], [504.0807120869108, 291.0311348166761], [1.9800574872525794e-14, 323.36792757408466], [-546.9596196123589, 199.07702088446328], [-274.3867852870509, -274.3867852870506], [-239.0024078050312, -98.99803875266916], [-323.36792757408466, 3.960114974505159e-14], [-582.0622696333523, 7.128206954109286e-14], [-307.5411746801925, -99.92618505619929], [336.05380805794044, -194.02075654445096], [-336.0538080579406, -194.02075654445068], [307.54117468019246, 99.92618505619932], [-478.00481561006234, 197.99607750533843], [-99.9261850561993, 307.5411746801925], [97.01037827222542, 168.02690402897025], [7.92022994901032e-15, 129.34717102963387], [-4.7521379694061906e-14, -258.69434205926774], [-573.2194358708077, -101.0740524105089], [-615.082349360385, -199.85237011239857]]	left	30	8	left	[  98.99803875  239.00240781]
