	RT	flanker_presence	key_pressed	target_ecc	target_flank_ratio	target_orientation	target_vf
0		flankers		12	0.8	left	left
1		flankers		8	0.8	right	left
2		flankers		12	0.8	right	left
3	0.5416725467603101	flankers	right	4	0.8	right	right
4		flankers		4	0.8	left	right
5	0.5332471204637841	flankers	left	12	0.8	left	left
6		no flankers		12	0.8	left	left
7	0.41671092773685814	flankers	left	4	0.8	right	left
8	0.7667656803205318	flankers	left	4	0.8	left	right
9	0.7584009793608857	flankers	right	8	0.8	right	left
10	0.9500700907210557	flankers	right	4	0.8	left	left
11		flankers		4	0.8	left	right
12		flankers		8	0.8	left	right
13	0.8833044389066345	flankers	right	12	0.8	right	right
14	0.9165933258591394	flankers	right	12	0.75	right	right
15	0.9250361429785698	flankers	left	12	0.75	left	left
16	0.6917958362955687	flankers	right	12	0.75	right	right
17		flankers		8	0.8	right	left
18	0.9416783056894928	flankers	right	4	0.8	right	right
19	0.6501088922123017	flankers	left	12	0.7	left	left
20	0.8084064389386185	flankers	left	4	0.8	left	right
21		flankers		12	0.7	right	left
22		flankers		4	0.8	left	left
23		flankers		8	0.8	right	left
24	1.1751127623829234	flankers	right	4	0.75	right	right
25	0.7166829598718323	flankers	left	12	0.75	right	left
26		flankers		8	0.8	left	left
27	0.7417591017456289	flankers	left	4	0.8	right	right
28		flankers		12	0.75	right	left
29		no flankers		8	0.8	right	left
30	0.5332120537223091	no flankers	left	12	0.75	right	left
31	0.8251523763974546	flankers	left	4	0.8	right	right
32	0.7750163430973771	flankers	left	8	0.8	left	right
33		flankers		12	0.75	left	right
34		no flankers		4	0.8	left	right
35		flankers		12	0.75	left	right
36	0.8833486287039705	flankers	right	4	0.8	right	right
37	0.7751309514751483	flankers	right	12	0.75	right	right
38	0.61674730591767	flankers	left	8	0.75	left	left
39		flankers		12	0.75	left	left
40		flankers		4	0.8	right	left
41		flankers		12	0.75	right	right
42		flankers		12	0.75	right	left
43		flankers		4	0.8	left	left
44		flankers		12	0.75	left	left
45	0.5250209758996789	flankers	right	8	0.75	right	right
46		no flankers		4	0.8	left	right
47	0.38327521662358777	no flankers	left	12	0.75	left	left
48		flankers		8	0.75	left	left
49		flankers		4	0.8	left	right
50		flankers		4	0.8	left	left
51	0.5084252837477834	flankers	right	8	0.75	right	right
52		flankers		12	0.75	right	right
53	0.8168030705910496	flankers	left	4	0.8	right	right
54	0.6249041722858237	no flankers	right	4	0.8	right	left
55	0.5416719765707967	flankers	left	4	0.8	left	right
56	0.683386090249769	flankers	right	4	0.8	right	left
57	0.883318978776515	flankers	right	4	0.8	left	left
58	0.8334201449033571	flankers	left	8	0.8	right	left
59	0.9667287889697036	flankers	left	8	0.8	left	right
60	0.9415679737430764	flankers	left	12	0.75	left	right
61	0.8750737328155083	flankers	left	12	0.7	left	right
62	0.7417231797153363	flankers	right	8	0.8	right	right
63		no flankers		4	0.8	right	right
64	0.6833863753436162	flankers	right	8	0.75	right	right
65		no flankers		8	0.75	left	left
66		flankers		4	0.8	left	right
67		flankers		8	0.75	right	left
68	0.5000383453389077	flankers	left	4	0.8	right	left
69	0.8584264383862319	flankers	left	8	0.8	right	right
70		flankers		12	0.7	right	left
71		flankers		8	0.8	left	left
72		flankers		0.0	0.0	left	0.0
73		flankers		0.0	0.0	right	0.0
74		flankers		0.0	0.0	right	0.0
75		flankers		0.0	0.0	left	0.0
76		flankers		0.0	0.0	right	0.0
77		no flankers		0.0	0.0	right	0.0
78		flankers		0.0	0.0	left	0.0
79		no flankers		0.0	0.0	right	0.0
80		flankers		0.0	0.0	left	0.0
81		flankers		0.0	0.0	right	0.0
82		no flankers		0.0	0.0	left	0.0
83		flankers		0.0	0.0	left	0.0
84		flankers		0.0	0.0	left	0.0
85		flankers		0.0	0.0	left	0.0
86		flankers		0.0	0.0	right	0.0
87		flankers		0.0	0.0	right	0.0
88		no flankers		0.0	0.0	right	0.0
89		flankers		0.0	0.0	right	0.0
90		flankers		0.0	0.0	left	0.0
91		no flankers		0.0	0.0	left	0.0
92		no flankers		0.0	0.0	right	0.0
93		flankers		0.0	0.0	right	0.0
94		flankers		0.0	0.0	left	0.0
95		flankers		0.0	0.0	left	0.0
96		flankers		0.0	0.0	left	0.0
97		flankers		0.0	0.0	right	0.0
98		flankers		0.0	0.0	left	0.0
99		flankers		0.0	0.0	right	0.0
