	RT	flanker_presence	key_pressed	target_ecc	target_flank_ratio	target_orientation	target_vf
0	6.728346852469258e-05	flankers	right	12	0.8	right	left
1	0.18338451818635804	flankers	right	4	0.8	left	left
2		no flankers		12	0.8	right	left
3	0.9333446042655851	flankers	right	4	0.8	right	right
4	0.8001392995902279	flankers	left	4	0.8	right	left
5	0.8498999871117121	flankers	left	12	0.8	left	left
6	0.7833423804877384	no flankers	left	4	0.8	left	left
7	0.45849094580989913	flankers	right	4	0.8	left	right
8	0.7834224934340455	flankers	right	12	0.75	right	right
9	0.9167461143770197	flankers	right	4	0.8	left	left
10	0.8250085244762886	flankers	left	4	0.8	right	left
11	0.9000851877135574	flankers	left	12	0.75	left	right
12	0.8000092942420451	flankers	left	12	0.75	left	right
13	1.1500070704641985	flankers	left	8	0.8	left	left
14	0.750144260320667	flankers	right	4	0.8	right	left
15	0.7997923335606174	no flankers	left	4	0.8	left	right
16	0.7417609110416379	flankers	right	8	0.8	left	left
17	0.7415935576646007	flankers	left	12	0.7	left	right
18	0.7584192718095437	flankers	right	12	0.7	right	right
19	0.8834388011200645	flankers	right	4	0.8	right	left
20	0.8334525999343896	flankers	right	12	0.7	right	right
21	0.933335766181699	no flankers	left	4	0.8	left	left
22	0.8417067991649674	flankers	left	4	0.75	left	left
23	0.40832769786720746	flankers	right	4	0.75	right	right
24	0.6417417523589393	flankers	right	8	0.8	right	right
25	0.4583503917820053	flankers	left	12	0.6499999999999999	left	left
26	0.5333409549893986	flankers	left	8	0.8	left	left
27	0.7665163812453102	no flankers	left	12	0.6499999999999999	right	left
28	0.7084344961222087	flankers	right	4	0.8	left	right
29	0.5000738407579775	flankers	left	8	0.8	right	left
30	0.5000305056419165	flankers	right	8	0.8	left	right
31	1.3584404261891905	flankers	right	12	0.7	left	right
32	0.7666250041365856	no flankers	left	4	0.8	left	right
33	0.8167069987357536	flankers	left	12	0.75	right	left
34	0.8084191577727324	flankers	right	12	0.75	right	right
35	0.9250436487272964	flankers	left	12	0.75	left	right
36	1.0832558813162905	flankers	left	4	0.8	left	left
37	0.7667743962447275	flankers	right	8	0.8	right	right
38	0.9584356365157873	flankers	right	4	0.8	right	right
39	0.8582898936838319	flankers	left	8	0.8	right	left
40	0.7999477127596037	no flankers	right	12	0.75	right	right
41	0.8584287371122628	flankers	right	8	0.8	right	right
