	RT	flanker_presence	key_pressed	target_ecc	target_flank_ratio	target_orientation	target_vf
0		no flankers		12	0.8	right	right
1	4.4189797108629136e-05	flankers	right	12	0.8	right	right
2	1.5834068166896031	flankers	right	4	0.8	left	left
3		flankers		4	0.8	left	right
4	6.756762536497263e-05	flankers	right	8	0.8	left	right
5	0.8500705753824604	flankers	left	12	0.8	left	left
6		flankers		4	0.8	right	right
7	4.960661112818343e-05	flankers	left	8	0.8	left	right
8	1.0917474270847833	flankers	left	8	0.8	right	right
9		flankers		4	0.8	right	left
10		flankers		4	0.8	left	right
11	6.69974342599744e-05	flankers	left	8	0.8	right	right
12	0.7084012216910196	flankers	right	4	0.8	left	left
13		flankers		8	0.8	left	right
14		flankers		4	0.8	right	right
15	6.528686162710073e-05	flankers	left	12	0.8	right	left
16	0.7917451748303392	flankers	right	4	0.8	left	left
17		flankers		8	0.8	left	left
18	6.44315753106639e-05	flankers	right	4	0.8	left	right
19		flankers		8	0.8	left	left
20	6.158062046779378e-05	flankers	right	12	0.8	left	right
21	0.8251061909336386	flankers	left	8	0.8	left	left
22		flankers		8	0.8	left	right
23	1.9249004375360528	flankers	left	12	0.8	right	right
24		no flankers		4	0.8	right	left
25	6.728252992616035e-05	flankers	right	4	0.8	left	right
26		flankers		4	0.8	right	left
27	6.756762536497263e-05	no flankers	left	4	0.8	right	right
28		flankers		4	0.8	right	left
29	5.530852035917633e-05	flankers	left	12	0.8	left	left
30		flankers		12	0.8	right	left
31	9.208583537656523e-05	flankers	right	12	0.8	left	right
32	0.60005867264681	flankers	left	12	0.8	left	left
33		flankers		12	0.8	left	right
34		flankers		4	0.8	left	right
35		flankers		12	0.8	right	left
36		no flankers		8	0.8	right	right
37		flankers		4	0.8	left	left
38		flankers		8	0.8	right	right
39	8.837959421725827e-05	no flankers	right	12	0.8	right	left
40	0.7749673066773539	no flankers	right	4	0.8	right	right
41		flankers		12	0.8	right	right
42		flankers		8	0.8	left	right
43		flankers		12	0.8	left	left
44		no flankers		8	0.8	right	right
45		no flankers		8	0.8	right	right
46		flankers		4	0.8	left	left
47		flankers		8	0.8	left	right
48		flankers		12	0.8	right	right
49		flankers		12	0.8	right	right
50	0.8334899932917779	flankers	right	4	0.8	right	right
51		flankers		4	0.8	right	left
52	0.00015623231524841685	no flankers	right	4	0.8	right	left
53	0.5667298723315071	flankers	right	8	0.8	right	right
54		flankers		4	0.8	right	left
55	6.78527208037849e-05	flankers	right	12	0.8	left	right
56	0.3248486071804564	no flankers	left	4	0.8	right	right
57		no flankers		8	0.8	right	right
58		flankers		12	0.8	left	left
59	1.0500889925497177	flankers	right	4	0.8	left	left
60	1.7082729287315033	flankers	right	4	0.8	right	right
61	1.4084417337567174	flankers	right	8	0.8	left	left
62		flankers		12	0.8	left	left
63	1.3500365064744528	flankers	right	8	0.8	left	right
64		flankers		4	0.8	right	right
65	0.37504878696177	flankers	left	4	0.8	right	left
66		no flankers		4	0.8	left	left
67	7.66906803164602e-05	no flankers	left	8	0.8	right	right
68	0.7750719367131751	flankers	right	4	0.8	right	left
69		flankers		12	0.8	left	left
70	1.7998435966276247	no flankers	right	4	0.8	right	right
71		flankers		8	0.8	left	right
72		flankers		0.0	0.0	left	0.0
73		flankers		0.0	0.0	left	0.0
74		flankers		0.0	0.0	left	0.0
75		flankers		0.0	0.0	right	0.0
