	RT	flanker_presence	key_pressed	target_ecc	target_flank_ratio	target_orientation	target_vf
22		flankers		12	0.8	right	left
23	1.2501455420242564	flankers	left	8	0.75	left	left
24		no flankers		8	0.75	left	right
25	0.7750747096724808	flankers	right	8	0.8	left	left
26	0.9749949965444102	flankers	left	8	0.8	left	right
27		flankers		8	0.8	left	left
28	1.841816204800125	flankers	right	4	0.8	left	right
29	1.8584784144477453	flankers	left	8	0.8	right	left
30		flankers		4	0.8	right	left
31		flankers		12	0.8	left	left
32	0.6417901469321805	flankers	right	8	0.8	left	left
33		flankers		12	0.8	left	right
34	0.8250570621676161	flankers	left	12	0.8	right	right
35	1.1418026912033383	flankers	right	4	0.8	left	left
36	1.2667418942619406	flankers	right	4	0.8	right	right
37		no flankers		12	0.8	left	left
38	0.5667742812838696	flankers	left	4	0.8	left	right
39		flankers		8	0.8	left	left
40	0.699967612981709	flankers	right	4	0.8	left	right
41	0.9251788556102838	flankers	left	4	0.8	left	left
42		flankers		8	0.8	right	left
43	6.671270239166915e-05	flankers	right	8	0.8	right	right
44	0.6249488963621843	flankers	left	4	0.8	right	right
45		flankers		12	0.8	left	left
46		flankers		8	0.8	left	left
47		flankers		12	0.8	right	left
48		flankers		12	0.8	right	left
49		flankers		12	0.8	right	left
50		flankers		4	0.8	left	left
51		no flankers		4	0.8	right	right
52		flankers		8	0.8	left	left
53	6.585740993614309e-05	flankers	left	8	0.8	right	left
54	1.991678588474315	flankers	left	8	0.8	left	right
55		flankers		12	0.8	right	left
56		flankers		8	0.8	right	left
57		flankers		4	0.8	right	right
58		flankers		8	0.8	right	right
59		flankers		12	0.8	right	left
60		no flankers		8	0.8	right	right
61	1.641789291643363	flankers	right	8	0.8	left	right
62	1.4832970214811212	flankers	left	12	0.8	left	right
63		flankers		8	0.8	right	right
64		no flankers		4	0.8	right	left
65	0.6917796268535312	flankers	right	4	0.8	right	left
66		no flankers		12	0.8	right	left
67		flankers		12	0.8	left	left
68		flankers		8	0.8	right	left
69		flankers		12	0.8	right	left
70		flankers		12	0.8	right	right
71		flankers		4	0.8	left	left
72		flankers		12	0.8	left	right
73		flankers		12	0.8	left	left
74		flankers		12	0.8	left	right
75		flankers		12	0.8	left	right
76		flankers		12	0.8	left	right
77		no flankers		4	0.8	left	right
78		flankers		4	0.8	right	right
79		no flankers		12	0.8	right	right
80		flankers		12	0.8	left	left
81		flankers		8	0.8	right	right
82		flankers		4	0.8	left	right
83	1.4251035899978888	flankers	right	4	0.8	right	left
84		flankers		4	0.8	left	left
85		flankers		8	0.8	right	right
86	1.0000587299837207	flankers	left	4	0.8	right	left
87		flankers		12	0.8	right	right
88		flankers		8	0.8	left	right
89		no flankers		8	0.8	left	right
90	1.0750167209407664	flankers	left	4	0.8	left	left
91		no flankers		12	0.8	right	left
92		flankers		12	0.8	right	left
93	0.8084319151275849	flankers	right	8	0.8	right	left
94		flankers		12	0.8	right	right
95	1.1918665814409906	flankers	left	12	0.8	left	left
96		no flankers		4	0.8	left	right
97	1.4667642458698538	flankers	right	4	0.8	right	right
98		flankers		4	0.8	left	right
99		flankers		8	0.8	right	right
100		flankers		8	0.8	right	right
101		flankers		12	0.8	right	right
102		flankers		12	0.8	left	right
103		no flankers		12	0.8	left	left
104		no flankers		12	0.8	right	right
105		flankers		12	0.8	left	left
106		flankers		8	0.8	right	left
107		no flankers		4	0.8	left	right
108		no flankers		12	0.8	right	left
109		flankers		8	0.8	left	right
110		flankers		4	0.8	right	right
111		flankers		12	0.8	left	right
112		flankers		12	0.8	left	right
113		flankers		8	0.8	right	right
114		flankers		12	0.8	right	right
115		flankers		12	0.8	left	right
116		flankers		12	0.8	left	left
117	1.3166831927919702	flankers	right	8	0.8	right	left
118	1.7751015087924316	flankers	left	8	0.8	right	right
119	1.5751076668857422	flankers	left	4	0.8	right	right
120		no flankers		8	0.8	right	left
121		flankers		8	0.8	right	left
122	1.733361595950555	flankers	left	4	0.8	right	right
123	1.0167708316112112	flankers	left	4	0.8	left	right
124	0.7250726854836103	flankers	right	4	0.8	left	left
125		flankers		4	0.8	right	left
126	0.00010463060243637301	no flankers	right	8	0.8	right	left
127	0.6501135541402618	flankers	right	4	0.8	left	right
128		flankers		8	0.8	right	right
129	1.0584004119082238	flankers	left	8	0.8	left	right
130	1.2000785157179052	flankers	right	4	0.8	right	left
131	0.8834443596133497	flankers	right	4	0.8	right	left
132		no flankers		8	0.8	right	right
133	6.443192614824511e-05	flankers	right	4	0.8	left	left
134	0.00013884224608773366	flankers	left	8	0.8	left	left
135	0.7584444308849925	flankers	left	4	0.8	left	left
136		flankers		4	0.8	left	left
137		flankers		8	0.8	left	left
138	1.1667891633478575	flankers	right	8	0.75	right	left
139	1.0500852725162986	flankers	left	12	0.8	right	right
140	1.7667934968230838	flankers	left	8	0.75	left	left
141	1.0249534008944465	no flankers	right	8	0.75	right	left
142		no flankers		4	0.8	left	right
143	4.8751589929452166e-05	flankers	right	4	0.8	right	left
0	1.0750426647682616	flankers	right	4	0.75	right	left
1	0.8082183774677105	no flankers	right	4	0.75	right	left
2	1.3667470830296224	flankers	left	8	0.75	left	right
3	1.0332631234414293	flankers	left	12	0.8	left	left
4	1.0917701616344857	flankers	right	12	0.8	left	right
5	0.7917166774350335	flankers	right	4	0.75	right	right
6	0.9666060170275159	no flankers	right	8	0.75	right	right
7	0.8168234605182079	flankers	left	12	0.8	left	right
8		flankers		12	0.8	left	left
9	0.783436319878092	flankers	right	8	0.8	left	right
10	1.3834386576709221	flankers	left	8	0.8	right	right
11	0.6665756256916211	flankers	right	8	0.8	right	right
12	0.9083837907528505	flankers	left	8	0.8	left	left
13	0.5584212239882618	flankers	right	4	0.8	left	right
14	1.2167732264242659	flankers	left	12	0.8	left	left
15		flankers		12	0.8	right	right
16	1.3167849724231928	flankers	right	8	0.8	left	left
17		flankers		4	0.8	left	left
18	1.900082621112233	flankers	left	8	0.8	right	right
19	1.8001632465493458	flankers	right	8	0.8	right	left
20	1.2584333121012605	flankers	right	8	0.8	left	right
21	1.9999538142837991	no flankers	left	12	0.8	left	left
22	1.108469148799486	flankers	right	4	0.8	left	left
23	0.7750404980288295	flankers	right	4	0.8	left	left
24	1.0831796185302665	flankers	right	8	0.8	right	left
25	0.9666599003649026	flankers	left	12	0.8	right	left
26	1.2584278952599561	flankers	left	4	0.8	left	left
27	0.9832402871725208	no flankers	right	12	0.8	left	right
28	1.5917764337682456	flankers	left	8	0.8	left	right
29	1.283428337163059	flankers	left	8	0.75	left	left
30	1.1666451893579506	no flankers	left	4	0.8	left	right
31	0.7833935553244373	flankers	left	12	0.8	left	right
32	0.9915551414669608	flankers	left	8	0.75	left	left
33		flankers		4	0.8	right	right
34	6.500211748061702e-05	flankers	left	12	0.8	right	right
35	1.1500328716829245	flankers	right	4	0.8	right	right
36		flankers		4	0.8	right	right
37	0.7584002408511878	flankers	right	12	0.8	right	right
38		no flankers		12	0.8	left	right
39	0.5500772897976276	flankers	left	12	0.8	left	left
40		flankers		4	0.8	right	left
41	0.8083415393739415	flankers	right	12	0.8	left	right
42	1.1834202974241634	flankers	right	8	0.8	left	right
43	0.9333859432335885	flankers	right	12	0.8	right	right
44		flankers		4	0.8	left	right
45	0.6917693633586168	flankers	right	4	0.8	left	right
46	1.1999302652729966	flankers	left	8	0.8	right	left
47	6.870837751193903e-05	flankers	right	8	0.8	left	right
48	0.29172237937382306	flankers	left	4	0.8	right	right
49		no flankers		12	0.8	right	left
50		flankers		12	0.8	right	left
51	0.958331361413002	flankers	left	4	0.8	right	right
52	1.7667487365943089	flankers	right	4	0.8	right	left
53		no flankers		8	0.8	right	right
54		no flankers		8	0.8	left	right
55	1.1250937256445468	flankers	right	12	0.8	left	left
56	0.9332647770061158	no flankers	right	8	0.8	right	right
57	1.2584592559323937	flankers	right	4	0.8	right	right
58	0.7667370476156066	flankers	left	8	0.8	right	left
59	0.658399898733478	flankers	right	12	0.8	left	right
60	0.5500675965013215	flankers	left	8	0.8	right	left
61	0.7000793710067228	flankers	right	4	0.75	right	right
62	1.0084200550954847	no flankers	right	8	0.8	right	left
63	1.0500770047037804	flankers	right	8	0.8	right	right
64	1.0667375037701277	flankers	left	8	0.8	left	left
65	1.6501101329740777	flankers	left	4	0.8	right	left
66		flankers		8	0.8	left	left
67	0.00012800855620298535	flankers	right	12	0.8	right	left
68		flankers		12	0.8	left	right
69	1.241753141341178	flankers	right	12	0.8	left	right
70	1.0334521427575964	flankers	right	8	0.75	right	left
71	1.2000548526666535	flankers	right	12	0.8	left	left
72	0.9167556644497381	flankers	right	8	0.75	right	left
73	0.7334397125305259	flankers	right	4	0.8	right	left
74	0.9416603137542552	no flankers	right	4	0.8	right	right
75		no flankers		12	0.8	left	left
76	0.7834423069143668	flankers	right	4	0.8	right	left
77		no flankers		12	0.8	left	right
78	0.816663521094597	flankers	right	12	0.8	right	left
79		flankers		12	0.8	right	left
80	0.00010833686246769503	flankers	right	12	0.8	left	right
81	0.09166410554462345	flankers	left	8	0.8	right	left
82		flankers		8	0.8	right	right
83	0.6417844449933909	flankers	right	4	0.75	right	right
84		flankers		12	0.8	left	right
85	0.5915677427583432	flankers	right	4	0.8	left	right
86	0.6582633372672717	no flankers	right	8	0.8	right	left
87	0.5665767090576992	flankers	right	8	0.8	left	right
88	0.725169903565984	flankers	right	8	0.8	right	right
89	0.9667708031010989	flankers	right	8	0.8	right	right
90	1.1417576458770782	flankers	right	4	0.8	left	left
91	0.9417258860667062	flankers	right	4	0.8	right	left
92	0.841769733986439	flankers	right	12	0.8	right	left
93	0.6916658731461212	flankers	right	4	0.8	left	left
94	0.9582332880418107	no flankers	right	4	0.8	right	left
95	0.8165631669508002	no flankers	right	8	0.8	right	right
96	1.2000833623642393	flankers	left	4	0.8	right	left
97	0.7917340683525254	flankers	left	12	0.8	left	left
98	1.2167903322442726	flankers	left	4	0.8	left	right
99	1.2834257712856925	flankers	left	8	0.8	right	right
100	0.7250846595561597	flankers	right	8	0.8	left	left
101	0.8167422078695381	flankers	right	8	0.8	right	left
102	0.9999113348312676	flankers	right	12	0.8	left	left
103		no flankers		8	0.8	left	left
104		flankers		12	0.8	left	left
105	0.7832350413882523	no flankers	right	8	0.8	left	right
106	0.8749136868791538	flankers	right	12	0.8	left	right
107	0.7665046935544524	flankers	right	12	0.8	left	left
108	1.008266672899481	no flankers	left	4	0.8	left	left
109	0.8082585761476366	no flankers	right	4	0.8	right	left
110	0.9667100774349819	flankers	right	4	0.8	left	right
111		flankers		12	0.8	left	right
112	0.425059114862961	flankers	right	4	0.8	right	right
113	0.5000042764550017	flankers	left	8	0.8	left	left
114	0.41657291726369294	flankers	right	8	0.8	left	right
115	0.6334023078052269	flankers	right	8	0.8	right	right
116	1.2334186153493647	flankers	right	8	0.8	right	left
117	1.2416838627686957	flankers	left	8	0.8	right	right
118	0.7998616139120713	flankers	right	4	0.8	right	left
119	0.8666475841710053	flankers	right	4	0.75	right	left
120	1.966655623909901	flankers	right	12	0.8	left	left
121	0.7667555789230391	flankers	right	4	0.75	right	left
122		flankers		12	0.8	left	left
123	6.528721496579237e-05	flankers	right	4	0.8	left	right
124	0.2834175034731743	flankers	left	12	0.8	right	left
125		flankers		12	0.8	left	right
126	0.5250095650044386	flankers	left	8	0.8	right	left
127	1.7583945389087603	flankers	left	8	0.8	left	left
128	1.0667799832262972	flankers	right	12	0.8	left	left
129	0.6082387904134521	no flankers	right	8	0.8	left	left
130	0.8834147095221851	flankers	right	4	0.8	right	right
131		no flankers		12	0.8	left	left
132	0.983416762224806	flankers	right	12	0.8	right	right
133	0.7334263129705505	flankers	right	4	0.8	left	right
134		flankers		12	0.8	left	right
135	0.6584027497046918	flankers	right	4	0.8	right	left
136		flankers		12	0.8	right	right
137	0.641691788463504	flankers	right	8	0.8	right	right
138	0.5164951428014319	flankers	left	4	0.8	right	left
139	0.7583968196850037	flankers	left	4	0.8	left	left
140		flankers		12	0.8	left	right
141	0.5167286372525268	flankers	right	4	0.8	right	right
142	0.9250077974029409	flankers	left	8	0.75	left	right
143	0.8167838320332521	no flankers	right	4	0.8	right	left
0		flankers		12	0.8	right	right
1	0.8417600406864949	flankers	right	4	0.75	right	left
2	0.9834421358573309	flankers	left	4	0.75	left	left
3	0.8915585056129203	flankers	right	12	0.8	left	right
4	1.8251451571450161	flankers	left	4	0.8	right	left
5	0.7914826127889683	no flankers	right	12	0.8	right	right
6	0.7251140245498391	flankers	right	8	0.8	left	right
7	1.9084755919902818	flankers	left	8	0.8	left	left
8	1.1084645872433612	flankers	left	12	0.8	right	right
9		flankers		8	0.8	left	right
10	0.8833066577572026	flankers	right	8	0.8	right	right
11	0.8084116732425173	flankers	left	8	0.75	left	left
12	0.7167581162866554	no flankers	right	4	0.8	left	left
13	1.3667619080733857	flankers	left	4	0.8	right	right
14		flankers		8	0.75	right	left
15		no flankers		4	0.8	left	left
16		flankers		12	0.8	right	right
17	0.4166932282023481	flankers	right	8	0.8	left	left
