	RT	flanker_presence	key_pressed	target_ecc	target_flank_ratio	target_orientation	target_vf
0		no flankers		4	0.8	right	right
1	0.698966913638742	no flankers	right	8	0.8	right	right
2	0.4751145244483723	flankers	left	4	0.8	left	right
3	6.528777362291294e-05	flankers	right	8	0.8	left	right
4	6.557287315445137e-05	flankers	right	12	0.8	left	left
5	6.756856942047307e-05	flankers	left	8	0.8	right	right
6	6.386227641996811e-05	flankers	right	12	0.8	right	right
7	6.386227641996811e-05	flankers	right	4	0.8	right	left
8	0.07496376386006887	flankers	right	12	0.8	left	right
9		flankers		12	0.8	left	left
10		flankers		8	0.8	right	left
11	1.4499704636971273	no flankers	left	12	0.8	left	left
12	0.6582763799667646	flankers	left	12	0.8	left	left
13	0.36661365717600347	no flankers	right	8	0.8	left	right
14		no flankers		12	0.8	left	right
15	0.35841220134420837	flankers	right	8	0.8	left	right
16	0.38333787591795954	flankers	right	4	0.75	right	right
17	0.33344518735020756	flankers	right	12	0.8	left	right
18	0.4500514319404374	flankers	left	12	0.8	right	left
19	0.3417050885691424	flankers	right	8	0.8	left	left
20	5.131790067025577e-05	flankers	left	12	0.8	right	right
21	5.6449690646331874e-05	flankers	right	8	0.8	right	left
22	0.2333644471864318	flankers	right	12	0.8	left	left
23		flankers		12	0.8	left	right
24	0.48336245149039314	flankers	right	8	0.8	right	right
25	0.35008530175491615	no flankers	left	4	0.75	right	left
26		no flankers		12	0.8	right	right
27	0.52508875145827	flankers	left	12	0.8	right	left
28	0.44170257969381055	flankers	right	4	0.75	right	right
29	0.32507837383855076	flankers	left	4	0.8	right	left
30	0.3084194428702176	flankers	right	12	0.8	left	right
31	0.3334437618530046	flankers	left	12	0.8	left	left
32	0.3832164235527671	no flankers	left	12	0.8	right	left
33	0.31672895139263346	flankers	left	8	0.8	right	left
34	0.2584138549209456	flankers	left	4	0.8	left	right
35	7.555135380243883e-05	flankers	right	8	0.8	right	left
36	0.0001468262157686695	flankers	left	8	0.8	left	left
37		flankers		8	0.8	left	left
38	0.400119114549625	flankers	right	4	0.8	left	right
39	0.4000891791074537	flankers	right	8	0.75	right	right
40		no flankers		8	0.75	right	left
41	1.5499730866122263	no flankers	left	12	0.8	left	left
42	0.4167355657000371	flankers	right	12	0.8	left	right
43	0.31678711168024165	flankers	right	4	0.8	left	right
44	0.29997679290499946	flankers	right	8	0.8	left	right
45	0.36675278570669434	flankers	left	4	0.8	left	left
46	0.44164755550036716	flankers	left	4	0.8	right	left
47		flankers		12	0.8	left	right
48	0.3164831956682974	no flankers	right	8	0.8	left	right
49	0.30844766771565446	flankers	left	4	0.8	right	left
50	0.41673699119724006	flankers	right	8	0.8	left	left
51	6.101128201407846e-05	flankers	left	8	0.8	left	right
52	6.015598364683683e-05	flankers	right	4	0.8	right	left
53	0.00016336198405042524	flankers	left	8	0.8	right	right
54	9.693381252873223e-05	flankers	right	4	0.8	left	left
55	6.329207735689124e-05	flankers	left	12	0.8	right	left
56	6.585797268598981e-05	flankers	left	12	0.8	left	right
57	5.587949181062868e-05	flankers	right	8	0.8	right	left
58	5.188809950595896e-05	flankers	left	4	0.8	right	right
59	6.471757478720974e-05	flankers	right	8	0.8	left	right
60	7.669175147384522e-05	no flankers	left	4	0.8	right	right
61	5.8730486443892005e-05	flankers	right	12	0.8	right	left
62	4.989240346731094e-05	flankers	left	4	0.8	left	left
63	4.932220463160775e-05	flankers	right	8	0.8	left	right
64	6.414737595150655e-05	flankers	right	4	0.8	right	right
65	8.89510279193928e-05	flankers	right	4	0.8	left	left
66		flankers		4	0.8	right	right
67		no flankers		12	0.8	left	right
68		flankers		12	0.8	right	left
69		flankers		12	0.8	left	right
70		flankers		8	0.8	left	right
