	RT	flanker_presence	key_pressed	target_ecc	target_flank_ratio	target_orientation	target_vf
0	0.9834345279687113	flankers	right	4	0.8	left	right
1	0.6083677799933866	flankers	right	4	0.8	right	right
2	0.483251924322758	flankers	left	12	0.8	right	left
3	0.8834284554350234	flankers	right	12	0.8	left	right
4	0.8084235446658568	flankers	left	8	0.8	left	right
5	0.49150743372229044	no flankers	left	4	0.8	left	right
6	0.7250972674455625	flankers	left	12	0.8	left	left
7	0.3165928126854851	no flankers	right	4	0.8	right	right
8	0.5250728632736354	flankers	right	8	0.8	right	right
9	0.7667519957394688	flankers	left	8	0.8	right	left
10	0.8750945447836784	flankers	left	4	0.8	left	right
11	0.5999728589113147	flankers	right	4	0.75	right	right
12	0.38344598880667036	flankers	right	4	0.8	left	right
13	0.5000426217720815	flankers	left	8	0.8	left	left
14	0.5333808302375473	flankers	right	8	0.8	left	right
15	0.5750925776255826	flankers	left	12	0.8	left	left
16	0.6582295514563157	no flankers	left	12	0.8	left	left
17	0.6416617986615165	flankers	left	8	0.8	left	left
18	0.5083907871967313	flankers	right	12	0.8	left	right
19	0.5333392063002975	flankers	left	8	0.8	left	left
20	0.9417481540785957	flankers	right	8	0.8	left	left
21	1.2833826120840968	flankers	left	8	0.8	left	left
22	1.508453793294393	flankers	right	4	0.8	left	left
23	1.416720620983142	flankers	left	4	0.8	right	left
24	0.700089833581842	flankers	left	8	0.8	right	left
25	1.1251073028061	flankers	left	4	0.8	right	left
26	0.650074965852582	flankers	right	8	0.8	left	right
27	1.2249639853152985	no flankers	right	12	0.8	left	right
28	1.3500863981807925	flankers	right	12	0.8	right	right
29	1.0834118058601234	flankers	left	12	0.8	left	left
30	1.1999266164275468	no flankers	right	8	0.8	right	right
31	1.1084580127080699	flankers	right	8	0.8	right	right
32	0.924919824027711	no flankers	left	12	0.8	left	left
33	0.8166750627278816	flankers	right	12	0.75	right	right
34	1.708454249447641	flankers	right	8	0.8	right	right
35		flankers		4	0.8	left	right
36	6.471667074947618e-05	flankers	left	8	0.75	left	left
37	0.5498721774483784	no flankers	left	8	0.75	left	right
38	6.585705250472529e-05	flankers	right	12	0.75	right	left
39	0.9000435340767581	flankers	right	4	0.8	right	left
40	0.5833569249834909	flankers	left	4	0.8	right	left
41	0.8416049506258787	no flankers	left	8	0.75	right	left
42	0.6834359819558813	flankers	left	12	0.8	right	left
43	1.108432354116303	flankers	left	4	0.8	right	right
44	0.5582873403072881	no flankers	right	4	0.8	left	right
45	0.6667596077886628	flankers	right	4	0.8	left	right
46	1.208443558367435	flankers	left	8	0.8	right	left
47	1.4501078658695405	flankers	left	12	0.8	left	left
48	1.4166866946234222	flankers	right	8	0.8	left	left
49	1.16679795312848	flankers	right	12	0.8	right	right
50	1.7668246950834146	flankers	right	12	0.8	left	right
51	1.2917992004213374	flankers	left	4	0.8	right	left
52	1.3584097602997645	flankers	left	12	0.8	right	left
53	1.4750890709501618	flankers	right	12	0.8	left	right
54	1.5750059086030888	flankers	left	8	0.8	left	left
55	1.033293448477707	no flankers	left	4	0.8	left	right
56	0.8334831510001095	flankers	left	12	0.8	left	left
57	0.9917501925101533	flankers	right	8	0.8	right	left
58	1.1167437422254807	flankers	right	12	0.8	left	right
59	1.591676010671108	flankers	right	8	0.75	right	right
60	0.8167842542907238	flankers	left	4	0.8	left	right
61	1.5418376170346164	flankers	left	4	0.8	right	left
62	1.133378777550206	flankers	left	8	0.75	left	right
63	1.5248610373428164	flankers	right	4	0.8	left	right
64	1.074889732201882	flankers	left	4	0.8	right	left
65	1.691877088502224	flankers	left	12	0.8	left	right
66	0.7417542551211227	flankers	left	4	0.8	right	left
67	0.4666556619813491	flankers	right	8	0.75	right	right
68	0.9583928826486954	flankers	right	12	0.8	right	left
69	1.133389611178245	flankers	left	12	0.75	left	left
70	0.858380823110565	flankers	left	8	0.7	left	right
71	1.041771617435188	flankers	left	8	0.7	left	left
72		flankers		0.0	0.0	right	0.0
73		flankers		0.0	0.0	right	0.0
74		no flankers		0.0	0.0	right	0.0
75		flankers		0.0	0.0	right	0.0
76		flankers		0.0	0.0	right	0.0
77		flankers		0.0	0.0	right	0.0
78		flankers		0.0	0.0	right	0.0
79		flankers		0.0	0.0	left	0.0
80		flankers		0.0	0.0	right	0.0
81		no flankers		0.0	0.0	right	0.0
82		flankers		0.0	0.0	left	0.0
83		flankers		0.0	0.0	left	0.0
84		flankers		0.0	0.0	right	0.0
85		flankers		0.0	0.0	right	0.0
86		no flankers		0.0	0.0	right	0.0
87		flankers		0.0	0.0	left	0.0
88		no flankers		0.0	0.0	right	0.0
89		flankers		0.0	0.0	right	0.0
90		flankers		0.0	0.0	left	0.0
91		no flankers		0.0	0.0	left	0.0
92		flankers		0.0	0.0	left	0.0
93		flankers		0.0	0.0	left	0.0
94		no flankers		0.0	0.0	right	0.0
95		flankers		0.0	0.0	left	0.0
96		flankers		0.0	0.0	left	0.0
97		flankers		0.0	0.0	right	0.0
98		flankers		0.0	0.0	right	0.0
99		flankers		0.0	0.0	left	0.0
100		flankers		0.0	0.0	right	0.0
101		flankers		0.0	0.0	right	0.0
102		flankers		0.0	0.0	left	0.0
103		flankers		0.0	0.0	right	0.0
104		flankers		0.0	0.0	left	0.0
105		flankers		0.0	0.0	left	0.0
106		flankers		0.0	0.0	left	0.0
107		flankers		0.0	0.0	right	0.0
108		no flankers		0.0	0.0	right	0.0
109		flankers		0.0	0.0	left	0.0
110		flankers		0.0	0.0	right	0.0
111		flankers		0.0	0.0	right	0.0
112		flankers		0.0	0.0	right	0.0
113		flankers		0.0	0.0	right	0.0
114		flankers		0.0	0.0	right	0.0
115		flankers		0.0	0.0	right	0.0
116		flankers		0.0	0.0	left	0.0
117		flankers		0.0	0.0	right	0.0
118		flankers		0.0	0.0	right	0.0
119		no flankers		0.0	0.0	right	0.0
120		flankers		0.0	0.0	right	0.0
121		flankers		0.0	0.0	right	0.0
122		flankers		0.0	0.0	right	0.0
123		flankers		0.0	0.0	left	0.0
124		no flankers		0.0	0.0	left	0.0
125		flankers		0.0	0.0	left	0.0
126		flankers		0.0	0.0	left	0.0
127		no flankers		0.0	0.0	left	0.0
128		no flankers		0.0	0.0	right	0.0
129		no flankers		0.0	0.0	left	0.0
130		flankers		0.0	0.0	right	0.0
131		flankers		0.0	0.0	left	0.0
132		no flankers		0.0	0.0	right	0.0
133		flankers		0.0	0.0	left	0.0
134		no flankers		0.0	0.0	left	0.0
135		flankers		0.0	0.0	left	0.0
136		flankers		0.0	0.0	right	0.0
137		flankers		0.0	0.0	right	0.0
138		flankers		0.0	0.0	right	0.0
139		flankers		0.0	0.0	left	0.0
140		flankers		0.0	0.0	left	0.0
141		flankers		0.0	0.0	left	0.0
142		flankers		0.0	0.0	right	0.0
143		flankers		0.0	0.0	left	0.0
0	0.5833626268931766	flankers	left	4	0.8	left	left
1	0.5416069748034715	flankers	right	12	0.8	right	right
2	0.5917068009803188	flankers	right	12	0.8	right	right
3	0.4582225381072931	no flankers	left	4	0.8	left	left
4	0.7666758752502574	flankers	right	4	0.8	right	left
