	RT	flanker_presence	key_pressed	target_ecc	target_flank_ratio	target_orientation	target_vf
0	1.150028067648691	flankers	left	4	0.8	left	left
1	0.6999487113257601	flankers	right	4	0.8	left	right
2	0.6332691583440919	flankers	right	4	0.8	left	right
3	0.7832057103480565	no flankers	left	4	0.8	right	left
4	0.6667604630747519	flankers	right	4	0.8	right	right
5	0.5750047682217883	flankers	left	4	0.8	right	left
6	0.9000959916431839	flankers	left	12	0.8	right	left
7	0.5998228986966296	flankers	left	4	0.8	left	left
8	0.5500572044052205	flankers	right	4	0.8	right	right
9	0.6833290711560949	flankers	left	8	0.8	left	left
10	0.8250845236782425	flankers	right	8	0.8	left	right
11	0.7915276469902892	flankers	left	8	0.8	right	left
12	0.7750402911167384	flankers	right	8	0.8	left	right
13	0.7000707321851678	flankers	right	8	0.8	right	right
14	0.8332208631723006	flankers	left	12	0.8	left	right
15	0.8165419231456781	flankers	right	4	0.75	right	right
16	0.7000499202160881	flankers	right	8	0.8	right	right
17	0.533223457540771	flankers	left	8	0.8	right	left
18	0.5250275330945442	flankers	right	12	0.8	left	right
19	0.7833268759209204	flankers	left	4	0.8	right	left
20	0.7167704841804152	flankers	right	4	0.8	left	right
21	0.6417094096043456	flankers	left	8	0.8	left	left
22	0.6748352219483422	flankers	right	8	0.8	left	right
23	0.5415858777391804	flankers	left	4	0.8	left	left
24	0.48337337499151545	flankers	left	4	0.8	left	left
25	0.5998950278494704	flankers	right	12	0.8	right	right
26	0.6417079841269242	flankers	right	4	0.75	right	right
27	0.6917020398864224	flankers	right	4	0.8	left	right
28	0.7331429465812107	flankers	left	8	0.8	left	left
29	0.7167582250754094	flankers	left	8	0.8	left	left
30	0.7751166967013887	flankers	left	12	0.8	left	left
31	0.7500371336843727	flankers	left	8	0.8	right	left
32	0.5083659838915082	flankers	left	12	0.75	left	left
33	0.6248941939452379	flankers	left	8	0.8	right	left
34	0.7583949923553064	flankers	right	8	0.8	right	left
35	0.5749249414911901	flankers	right	4	0.8	right	left
36	0.5416562963191609	flankers	right	4	0.8	right	left
37	1.0249424320982143	flankers	right	12	0.8	left	left
38	0.5748761901666057	no flankers	right	4	0.8	right	right
39	0.625100888157931	no flankers	left	4	0.8	left	right
40	0.5583543377417755	flankers	right	8	0.8	left	right
41	0.6584085914087154	flankers	left	4	0.75	left	left
42	0.5749081208587086	no flankers	right	4	0.75	right	right
43	0.6833846647718929	flankers	left	12	0.8	right	left
44	0.8500586013728935	flankers	right	12	0.8	left	right
45	0.9747841613504988	no flankers	left	4	0.75	right	left
46	1.3499102091830082	flankers	left	12	0.8	right	left
47	0.941568829030075	no flankers	left	12	0.8	right	left
48	0.5750615022193415	flankers	right	8	0.8	right	right
49	0.8334691813226982	flankers	right	12	0.8	right	left
50	0.5250144187029946	flankers	right	12	0.8	left	right
51	0.8417161378572473	flankers	right	8	0.8	right	left
52	0.7001066542136414	flankers	left	4	0.75	left	left
53	0.7000499202158608	flankers	right	12	0.8	right	right
54	1.0332712110314333	flankers	right	8	0.8	left	right
55	0.5498929894170033	no flankers	right	4	0.75	right	left
56	1.00831309868272	flankers	left	12	0.8	right	left
57	0.7165672111134427	flankers	right	8	0.8	left	right
58	0.6167016906447316	flankers	right	12	0.8	right	right
59	0.8833925334065498	flankers	right	8	0.8	right	right
60	0.7832296583671905	flankers	right	4	0.8	left	right
61	0.6582745965399681	flankers	right	12	0.8	left	right
62	0.5583626055104105	flankers	right	4	0.8	right	right
63	0.650046741401411	flankers	right	8	0.8	right	left
64	0.5500115891306905	flankers	right	12	0.8	right	left
65	0.6164810267543999	no flankers	right	4	0.8	right	right
66	0.4917531860130566	flankers	right	12	0.8	left	right
67	0.7583248588705374	flankers	right	4	0.8	left	left
68	0.5001027769153552	flankers	right	8	0.75	right	right
69	0.5332639410969477	flankers	right	12	0.8	left	right
70	0.5999765651527014	flankers	right	8	0.75	right	right
71	0.874974804688236	flankers	right	12	0.8	right	left
72		flankers		0.0	0.0	left	0.0
