	RT	flanker_presence	key_pressed	target_ecc	target_flank_ratio	target_orientation	target_vf
0		flankers		12	0.8	right	right
1	1.500053025836678	flankers	left	4	0.8	left	right
2	0.7833723519870546	flankers	right	4	0.8	right	left
3	0.8581952285876469	flankers	right	4	0.75	right	left
4	1.5749976337920089	flankers	left	4	0.8	right	left
5	1.383200901780583	flankers	left	8	0.8	left	left
6	1.8000481223734823	flankers	right	4	0.8	left	right
7	0.8833454399482434	flankers	left	8	0.8	left	left
8	0.8000301620086248	flankers	left	12	0.8	left	left
9	0.716517605147601	flankers	right	8	0.75	right	left
10	0.7415375325999776	flankers	right	4	0.8	left	right
11	0.6833633432961506	flankers	right	4	0.8	right	right
12	1.2083567578283692	flankers	left	8	0.8	right	right
13	0.9083528236551501	flankers	right	4	0.8	left	right
14	1.0166994324517873	flankers	right	12	0.8	right	right
15	0.9582261888335779	flankers	right	12	0.8	left	right
16	0.9415538394696341	flankers	left	4	0.8	right	right
17	0.9832749098859495	no flankers	left	12	0.8	right	right
18	0.95004909166164	flankers	left	4	0.8	left	right
19	0.6498806633589993	flankers	left	4	0.8	right	right
20	0.8915729971922701	flankers	left	12	0.8	right	left
21	1.0750480938640976	flankers	right	4	0.8	left	left
22	1.3082956355738133	flankers	left	4	0.8	left	left
23	1.3082631358684012	flankers	left	8	0.8	left	right
24	0.9750011688483937	flankers	right	8	0.8	left	right
25	0.8583431877759722	flankers	right	12	0.8	left	right
26	0.8082212283516128	flankers	left	4	0.8	right	right
27	0.7000117455081636	flankers	left	4	0.8	right	left
28	0.7583880601796409	flankers	left	12	0.8	right	right
29	0.6250400544613512	flankers	left	8	0.8	right	right
30	0.8833371724795143	flankers	right	12	0.8	left	left
31	1.3748342229882837	flankers	right	8	0.8	left	right
32	0.799896742160854	no flankers	left	4	0.8	right	right
33		flankers		12	0.8	right	right
34	0.8831943448240054	no flankers	right	4	0.8	left	left
35	0.9250320150604239	flankers	right	12	0.8	left	right
36	0.7582403860742488	flankers	left	4	0.8	right	right
37	0.5833090060677932	flankers	left	8	0.8	right	left
38	1.1415824050018273	flankers	right	12	0.8	left	left
39	0.7167191603439278	flankers	right	8	0.8	left	left
40	0.9083186134375865	flankers	right	4	0.8	left	right
41	0.6332177218046127	no flankers	left	4	0.8	right	left
42	0.8000307321781293	flankers	left	8	0.8	left	right
43	0.6499385356437415	flankers	left	8	0.8	right	left
44	0.55822379411984	no flankers	right	4	0.8	left	left
45	0.6166796475426963	flankers	left	8	0.8	right	right
46	0.7667022833047668	flankers	right	8	0.8	left	left
47	0.6247871839404979	no flankers	right	8	0.8	left	left
48	0.6581926058042882	no flankers	right	4	0.8	left	right
49	0.5917173072903097	flankers	right	8	0.8	left	right
50	0.7083684463195823	flankers	right	8	0.8	left	left
51	0.7000097499112599	flankers	left	4	0.8	right	left
52		flankers		4	0.8	left	left
53	0.5497553399291064	flankers	right	4	0.8	left	left
54	0.7248985381975217	flankers	left	12	0.8	right	left
55	0.83310231933865	no flankers	left	8	0.8	right	left
56		no flankers		12	0.8	left	left
57	0.9000465829121822	flankers	right	8	0.8	left	right
58	0.7916945574961574	flankers	left	12	0.8	right	left
59	0.6500052455667173	flankers	right	12	0.8	left	right
60	0.8833525670761446	flankers	left	4	0.8	right	left
61	0.7082991706301982	flankers	left	8	0.8	left	left
62	1.5330425084757735	flankers	right	4	0.8	left	right
63	0.8083768848391628	flankers	left	4	0.8	right	left
64	0.7416968951947638	flankers	left	4	0.8	right	right
65	0.5832209147574758	no flankers	left	8	0.8	right	left
66	1.22503024753496	flankers	right	12	0.8	left	right
67	0.8998544355272315	no flankers	left	4	0.8	right	right
68	0.875034067674278	flankers	right	12	0.8	left	left
69	1.000036775983972	flankers	left	8	0.8	right	left
70	0.8583574420335935	flankers	right	4	0.8	left	right
71	1.1000187015870324	flankers	left	12	0.8	left	left
72		flankers		0.0	0.0	left	0.0
73		flankers		0.0	0.0	right	0.0
74		no flankers		0.0	0.0	left	0.0
75		flankers		0.0	0.0	right	0.0
76		flankers		0.0	0.0	left	0.0
77		no flankers		0.0	0.0	right	0.0
78		flankers		0.0	0.0	right	0.0
79		no flankers		0.0	0.0	right	0.0
80		flankers		0.0	0.0	right	0.0
81		flankers		0.0	0.0	right	0.0
