	RT	flanker_presence	key_pressed	target_ecc	target_flank_ratio	target_orientation	target_vf
0		no flankers		12	0.8	left	right
1		flankers		12	0.8	left	right
2		flankers		8	0.8	right	right
3	1.0834070753571723	flankers	left	4	0.8	left	left
4		flankers		12	0.8	left	left
5	0.9166473759050859	flankers	left	8	0.8	left	left
6		flankers		4	0.8	left	right
7	0.8581470491981236	flankers	left	8	0.8	left	left
8	0.733348746935917	no flankers	right	8	0.8	left	right
9		flankers		8	0.8	right	left
10	0.6166779370332733	flankers	left	8	0.8	right	left
11	0.8416471763457594	flankers	left	4	0.8	right	left
12	1.083358325797235	flankers	left	8	0.8	left	right
13		flankers		4	0.8	left	right
14	0.9083434158446835	flankers	left	8	0.8	right	left
15		flankers		12	0.8	left	right
16	0.5583312712178667	flankers	right	4	0.8	left	right
17		flankers		12	0.8	right	left
18	0.6000378022899895	flankers	right	12	0.8	left	right
19	0.558197851370096	no flankers	left	4	0.8	left	left
20	0.5581981364557578	flankers	right	12	0.8	left	right
21	0.5249654761892089	flankers	left	8	0.8	left	left
22		no flankers		12	0.8	right	left
23	0.5999383075750302	flankers	left	12	0.8	left	left
24		flankers		12	0.8	right	left
25	0.49162904493005044	flankers	left	4	0.8	right	left
26	0.6250021381383704	flankers	right	12	0.8	left	right
27	0.6750502605109432	flankers	right	8	0.8	right	right
28		flankers		12	0.8	left	right
29	0.608209767929111	flankers	left	4	0.8	right	left
30	0.5665092236440614	flankers	left	12	0.8	left	left
31	0.5083672489627133	flankers	left	12	0.8	right	left
32	0.40842409493961895	flankers	right	8	0.8	left	right
33	0.6250258002055489	flankers	left	12	0.8	right	left
34	0.3915564622529928	flankers	left	8	0.8	right	left
35	0.4998930930705683	no flankers	left	8	0.8	left	left
36	0.5250467254554678	flankers	left	4	0.8	left	left
37	0.4250522561069374	flankers	left	4	0.8	left	left
38	0.4165398988061497	no flankers	left	4	0.8	right	right
39	0.8000509732237333	flankers	right	4	0.8	left	right
40	0.733244975944217	flankers	right	8	0.8	left	right
41		flankers		8	0.8	left	left
42	0.6332217129966011	flankers	left	8	0.8	right	left
43	0.8000275962422165	flankers	left	8	0.8	left	left
44	0.9331520952046048	no flankers	left	8	0.8	right	left
45		flankers		12	0.8	right	left
46		flankers		8	0.8	right	left
47	0.599831970816922	flankers	right	8	0.8	left	right
48	0.5749773927482238	flankers	left	4	0.8	left	left
49	0.508347863173185	no flankers	left	8	0.8	left	left
50	0.5333389970246571	flankers	left	4	0.8	left	left
