	RT	flanker_presence	key_pressed	target_ecc	target_flank_ratio	target_orientation	target_vf
0	1.041508406565299	flankers	left	4	0.8	right	left
1	0.8998245276425223	flankers	right	4	0.8	right	right
2	1.5667121383821723	flankers	right	8	0.8	right	right
3	1.4167293150021578	flankers	left	4	0.8	left	right
4	0.7331725430667575	no flankers	right	4	0.8	right	left
5	0.8083437034501912	flankers	left	8	0.8	left	right
6	0.8416486704154522	flankers	right	8	0.75	right	right
7	0.8914739820538671	flankers	left	4	0.8	right	right
8	1.3333692545629674	flankers	right	12	0.8	left	left
9	0.8666783553208006	flankers	right	4	0.8	right	right
10	0.8249931934969936	flankers	right	4	0.8	right	left
11	0.6415420470830213	no flankers	left	4	0.8	left	right
12	0.8500625057913567	flankers	left	4	0.75	left	right
13	0.71668954506913	flankers	right	4	0.8	left	left
14	1.0500422644627179	flankers	right	12	0.8	right	left
15	0.7415795363021971	flankers	right	12	0.8	right	left
16	0.9334134433775034	flankers	left	4	0.8	left	left
17	0.7499705645477661	flankers	right	8	0.75	right	right
18	0.8498532503717797	flankers	left	8	0.75	left	left
19	0.8499789746774695	flankers	left	8	0.7	left	left
20	1.3581671620086126	flankers	right	12	0.75	right	left
21	0.8583965162106324	flankers	left	8	0.7	left	left
22	0.9998970828255551	no flankers	left	8	0.7	left	right
23	0.5999732016216512	flankers	right	4	0.8	right	right
24	0.9831757503197878	flankers	left	4	0.75	left	left
25	0.8749510715788347	flankers	right	8	0.7	right	right
26	0.7166693037415826	flankers	left	8	0.6499999999999999	left	right
27	1.1000049890599257	flankers	left	12	0.75	left	left
28	0.7584211764205975	flankers	right	4	0.75	right	left
29	1.1833436678134603	flankers	left	4	0.75	left	left
30	1.0915443990679705	flankers	right	8	0.6499999999999999	right	right
31	0.8000476098841318	flankers	right	4	0.7	right	right
32	0.5916788185904807	flankers	right	4	0.7	right	right
33	1.1832638428586506	flankers	right	4	0.7	right	left
34	0.8249544213758782	flankers	left	4	0.6499999999999999	left	left
35	0.7083917409681817	flankers	right	8	0.6499999999999999	right	left
36	1.1915200239473052	flankers	left	12	0.75	left	right
37	1.274829053432768	flankers	right	12	0.7	right	right
38	0.5748485820386122	flankers	right	8	0.5999999999999999	right	left
39	0.541464360295322	no flankers	left	4	0.6499999999999999	left	right
40	0.8250576236387133	no flankers	right	8	0.5999999999999999	right	right
41	0.858354037931349	flankers	left	4	0.6499999999999999	left	left
42	0.7917466698027056	flankers	left	8	0.6499999999999999	right	right
43	0.6165425816243442	flankers	right	8	0.6499999999999999	right	left
44	0.8831451032383484	flankers	right	12	0.7	right	right
45	1.4166794244047196	flankers	right	12	0.7	right	left
46	0.8500140406395076	flankers	left	8	0.6499999999999999	left	left
47	1.2498395660941242	flankers	right	12	0.6499999999999999	right	left
48	0.5834012558179893	flankers	left	4	0.6499999999999999	left	right
49	0.6249199255917119	flankers	right	12	0.6499999999999999	right	left
50	0.5415168166946387	no flankers	left	8	0.6499999999999999	left	right
51	4.3618636482278816e-05	flankers	left	4	0.5999999999999999	left	left
52	0.5831774608541309	no flankers	left	4	0.5999999999999999	left	right
53	1.0248161531499136	flankers	right	12	0.7	left	right
54	0.6999861731774217	flankers	left	8	0.5999999999999999	left	right
55	0.6082866856249893	flankers	left	8	0.5999999999999999	left	right
56	0.8417581446401528	flankers	right	12	0.7	right	right
57	0.5667261077487638	flankers	left	8	0.5999999999999999	left	right
58	1.2083975852956428	flankers	right	12	0.75	left	left
59	1.0916746847979084	flankers	right	12	0.75	right	right
60	0.5999771928700284	flankers	left	8	0.5499999999999998	left	left
61	1.5999042100538645	flankers	left	4	0.6499999999999999	right	right
62	0.8082154133435324	no flankers	left	12	0.75	left	left
63	0.9165304653370185	no flankers	right	4	0.6499999999999999	right	right
64	0.9333116665602574	no flankers	right	4	0.6499999999999999	right	left
65	0.5915858795360691	flankers	left	12	0.75	left	right
66	0.9999056354990898	flankers	left	4	0.6499999999999999	left	right
67	0.5749101612891536	flankers	right	8	0.5499999999999998	right	left
68	1.3082785605847675	flankers	right	12	0.8	left	left
69	0.7167439970926353	flankers	left	8	0.5499999999999998	left	left
70	0.5500378455808459	flankers	right	4	0.6499999999999999	right	left
71	0.5581876884261874	no flankers	right	4	0.6499999999999999	right	right
72		flankers		0.0	0.0	right	0.0
73		flankers		0.0	0.0	right	0.0
74		flankers		0.0	0.0	right	0.0
75		flankers		0.0	0.0	right	0.0
76		flankers		0.0	0.0	left	0.0
77		flankers		0.0	0.0	left	0.0
78		no flankers		0.0	0.0	right	0.0
79		flankers		0.0	0.0	left	0.0
80		no flankers		0.0	0.0	right	0.0
81		flankers		0.0	0.0	left	0.0
82		no flankers		0.0	0.0	right	0.0
83		flankers		0.0	0.0	left	0.0
84		no flankers		0.0	0.0	left	0.0
85		flankers		0.0	0.0	right	0.0
86		flankers		0.0	0.0	left	0.0
87		flankers		0.0	0.0	left	0.0
88		flankers		0.0	0.0	right	0.0
89		flankers		0.0	0.0	left	0.0
90		flankers		0.0	0.0	left	0.0
91		flankers		0.0	0.0	left	0.0
92		flankers		0.0	0.0	right	0.0
93		flankers		0.0	0.0	left	0.0
94		flankers		0.0	0.0	right	0.0
95		flankers		0.0	0.0	left	0.0
96		flankers		0.0	0.0	left	0.0
97		flankers		0.0	0.0	right	0.0
98		flankers		0.0	0.0	left	0.0
99		flankers		0.0	0.0	right	0.0
100		flankers		0.0	0.0	right	0.0
101		flankers		0.0	0.0	left	0.0
102		no flankers		0.0	0.0	right	0.0
103		flankers		0.0	0.0	left	0.0
104		no flankers		0.0	0.0	left	0.0
105		no flankers		0.0	0.0	left	0.0
106		flankers		0.0	0.0	right	0.0
107		flankers		0.0	0.0	right	0.0
108		no flankers		0.0	0.0	left	0.0
109		flankers		0.0	0.0	right	0.0
110		flankers		0.0	0.0	right	0.0
111		flankers		0.0	0.0	left	0.0
112		flankers		0.0	0.0	right	0.0
113		flankers		0.0	0.0	left	0.0
114		no flankers		0.0	0.0	right	0.0
115		flankers		0.0	0.0	left	0.0
116		flankers		0.0	0.0	right	0.0
117		flankers		0.0	0.0	left	0.0
118		flankers		0.0	0.0	right	0.0
119		flankers		0.0	0.0	left	0.0
120		flankers		0.0	0.0	right	0.0
121		flankers		0.0	0.0	right	0.0
122		flankers		0.0	0.0	right	0.0
123		flankers		0.0	0.0	left	0.0
124		flankers		0.0	0.0	left	0.0
125		no flankers		0.0	0.0	left	0.0
126		flankers		0.0	0.0	left	0.0
127		flankers		0.0	0.0	right	0.0
128		flankers		0.0	0.0	right	0.0
129		flankers		0.0	0.0	right	0.0
130		flankers		0.0	0.0	left	0.0
131		flankers		0.0	0.0	right	0.0
132		no flankers		0.0	0.0	left	0.0
133		flankers		0.0	0.0	left	0.0
134		flankers		0.0	0.0	left	0.0
135		no flankers		0.0	0.0	left	0.0
136		flankers		0.0	0.0	right	0.0
137		flankers		0.0	0.0	right	0.0
138		flankers		0.0	0.0	right	0.0
139		flankers		0.0	0.0	left	0.0
140		flankers		0.0	0.0	left	0.0
141		no flankers		0.0	0.0	left	0.0
142		flankers		0.0	0.0	right	0.0
143		flankers		0.0	0.0	right	0.0
0	0.6667176976206974	flankers	right	8	0.8	right	left
1	0.8250031716161175	flankers	right	8	0.8	left	left
2	0.5916799589476796	flankers	right	8	0.8	right	left
3	0.600049890597802	flankers	right	4	0.8	right	left
4	0.7498588096104868	no flankers	left	8	0.8	left	left
5	0.6583705731009104	flankers	left	4	0.8	left	left
6	0.674885501080098	flankers	right	12	0.8	left	left
7	0.9000357786853783	flankers	left	12	0.8	right	right
8	0.7667346604230261	flankers	left	4	0.8	right	right
9	1.2500017818065317	flankers	left	12	0.8	left	left
10	0.9583265268302057	flankers	left	12	0.8	left	left
11	0.883385148281377	flankers	right	12	0.75	right	left
12	1.4666911843314665	flankers	left	12	0.75	left	right
13	0.6416538020203006	flankers	left	8	0.8	left	right
14	1.4665617538676088	flankers	right	8	0.8	left	right
15	1.4997943081962148	no flankers	right	8	0.8	left	left
16	0.9501176705371108	no flankers	right	8	0.8	right	left
17	1.616577362497992	flankers	right	12	0.75	right	left
18	0.9248536423692713	no flankers	left	4	0.8	left	left
