	RT	flanker_presence	key_pressed	target_ecc	target_flank_ratio	target_orientation	target_vf
0	1.2500533109214302	flankers	right	4	0.8	right	left
1	0.5998770142687135	flankers	left	8	0.8	left	left
2	0.6416776234382269	flankers	left	12	0.8	left	right
3	0.5499395049337181	flankers	right	8	0.8	right	left
4	0.5582072591805627	no flankers	right	4	0.8	right	left
5	0.4582062328736356	flankers	left	4	0.8	left	right
6	0.4750704445395968	flankers	left	8	0.75	left	right
7	0.5249175818844378	flankers	right	4	0.75	right	right
8	0.5833574705411593	flankers	left	8	0.75	left	right
9	0.5416840093457722	flankers	right	4	0.75	right	right
10	0.5165146972794901	no flankers	left	8	0.75	left	left
11	0.5750275677328318	flankers	left	4	0.75	left	left
12	0.6166759414354601	flankers	right	12	0.8	right	left
13	0.5500153375796799	flankers	left	8	0.75	left	right
14	0.533329019044686	flankers	left	8	0.7	left	left
15	0.5083692445587076	flankers	left	12	0.75	left	right
16	0.6499946974163322	flankers	right	8	0.7	right	left
17	0.5083735208354483	flankers	left	4	0.7	left	right
18	0.5332417829904443	flankers	right	4	0.7	right	left
19	0.49175533764901047	flankers	left	4	0.7	left	left
20	0.6167130025060032	flankers	right	4	0.6499999999999999	right	left
21	0.5831744458791945	no flankers	right	12	0.75	right	right
22	0.5915713436988881	flankers	right	8	0.7	right	left
23	0.49152299325578497	no flankers	right	8	0.7	right	left
24	0.39980796664713125	no flankers	left	4	0.6499999999999999	left	right
25	0.4332478838132374	flankers	left	8	0.6499999999999999	left	left
26	0.4666424724400713	flankers	right	12	0.75	right	left
27	0.4250274537007499	flankers	left	4	0.6499999999999999	left	right
28	0.47503880008844135	flankers	right	12	0.75	right	right
29	0.5750726111855329	flankers	right	12	0.7	right	right
30	0.5898594074096764	flankers	right	12	0.7	right	right
31	0.47503937025794585	no flankers	left	8	0.6499999999999999	left	right
32	0.5083740910067718	flankers	left	12	0.7	left	left
33	0.44162596601199766	flankers	right	8	0.6499999999999999	right	right
34	0.4248162056082947	no flankers	right	4	0.6499999999999999	right	right
35	0.4333171595044405	flankers	left	8	0.6499999999999999	left	left
36	0.45831627573898004	flankers	left	12	0.6499999999999999	left	left
37	0.42498184007672535	flankers	left	8	0.5999999999999999	left	left
38	0.5333489750046283	flankers	right	4	0.6499999999999999	right	right
39	0.8083150213642512	flankers	right	8	0.5999999999999999	right	left
40	0.774900476775656	flankers	left	12	0.6499999999999999	left	left
41	0.500002280679837	flankers	right	8	0.5999999999999999	right	right
42	0.7665885343321861	flankers	left	8	0.5499999999999998	left	left
43	0.6500996087488602	flankers	left	12	0.6499999999999999	left	right
44	0.5667184761405224	flankers	left	8	0.5499999999999998	left	left
45	0.47486147712879756	no flankers	left	8	0.5499999999999998	left	right
46	0.6167640327457775	flankers	right	12	0.5999999999999999	right	left
47	0.5415035504502157	flankers	right	4	0.5999999999999999	right	left
48	0.6082354255922837	flankers	left	12	0.5999999999999999	left	left
