	RT	distractor_position	key_pressed	set_size	target_ecc	target_orientation	target_position
0	1.1994903562263062	[[-2.6164892842397864e-14, -142.43504255330262], [-310.82378760754625, 389.7607016619593], [370.0570957208328, 213.6525638299539], [-703.4071541103465, -111.40874842404196], [370.05709572083265, -213.65256382995412], [677.3188768454796, 220.07424371744654], [-555.0856435812492, 320.4788457449308], [1.7443261894931912e-14, 284.87008510660525], [-640.9576914898618, 7.849467852719359e-14], [640.9576914898618, 0.0], [142.43504255330262, 0.0], [-302.15035340410435, -302.15035340410407], [110.59470510834788, -412.7450585124524], [213.65256382995398, 370.05709572083276], [402.867137872139, 402.8671378721389], [-602.303212928994, -219.22044150905222], [555.0856435812492, 320.4788457449308], [-302.1503534041042, 302.15035340410424], [-370.0570957208327, 213.65256382995406], [3.0525708316130845e-14, 498.52264893655916], [-6.541223210599466e-14, -356.0876063832565], [110.93172543973901, 486.0236453030718], [-185.02854786041635, 106.82628191497703], [703.4071541103465, 111.40874842404206], [-216.30087095538414, -449.1533866360868], [288.0809250503515, -209.30304355620538], [110.9317254397389, -486.0236453030718], [602.3032129289937, -219.22044150905273], [-263.1856410547409, -109.01506194673091]]	right	30	4	right	[ -1.42435043e+02   1.74432619e-14]
1	1.284585984282785	[[602.3032129289937, -219.22044150905273], [8.721630947465956e-15, 142.43504255330262], [486.02364530307176, -110.93172543973911], [-109.0150619467311, -263.18564105474087]]	left	5	4	left	[ 100.71678447 -100.71678447]
2	0.9932015185540877	[[-486.0236453030718, -110.93172543973893], [-110.03712185872332, -338.6594384227398], [-9.157712494839252e-14, -498.52264893655916], [-110.93172543973908, -486.0236453030718], [-2.6164892842397864e-14, -142.43504255330262], [-1.3082446421198932e-14, -71.21752127665131], [498.52264893655916, 0.0], [-110.59470510834802, 412.7450585124523], [2.1804077368664886e-14, 356.0876063832565], [-449.15338663608685, -216.300870955384], [-213.65256382995392, 2.6164892842397864e-14], [370.05709572083265, -213.65256382995412], [703.4071541103465, 111.40874842404206], [-486.0236453030718, 110.93172543973904], [3.0525708316130845e-14, 498.52264893655916], [-427.30512765990784, 5.232978568479573e-14], [-216.30087095538403, 449.15338663608685], [-712.175212766513, 8.721630947465955e-14], [201.4335689360695, 201.43356893606946], [-106.82628191497692, 185.0285478604164], [-555.0856435812493, -320.4788457449307], [-213.65256382995383, 370.0570957208328], [110.59470510834817, 412.74505851245226], [402.86713787213887, -402.86713787213904], [109.015061946731, -263.18564105474087], [-558.7927725995479, -111.15079327241902], [338.6594384227398, 110.03712185872327], [-338.6594384227398, 110.0371218587233], [-209.30304355620527, 288.08092505035154]]	right	30	4	right	[ 100.71678447  100.71678447]
3	1.0482573581311954	[[-106.82628191497706, -185.02854786041632], [-555.0856435812492, 320.4788457449308], [110.9317254397389, -486.0236453030718], [-209.30304355620527, 288.08092505035154], [71.21752127665131, 0.0], [-498.52264893655916, 6.105141663226169e-14], [-427.30512765990784, 5.232978568479573e-14], [356.0876063832565, 0.0], [-3.9247339263596795e-14, -213.65256382995392], [-109.01506194673092, 263.1856410547409], [486.0236453030718, 110.93172543973898], [631.2201039320228, -111.30113508881706], [703.4071541103465, 111.40874842404206], [-216.30087095538414, -449.1533866360868]]	right	15	4	right	[ -2.61648928e-14  -1.42435043e+02]
4	1.2169367318701916	[[-302.15035340410435, -302.15035340410407], [-142.43504255330262, 1.7443261894931912e-14], [-284.87008510660525, 3.4886523789863823e-14], [-100.71678446803476, -100.71678446803473]]	left	5	8	left	[ 201.43356894 -201.43356894]
5	1.2295586546497361	[[-7.849467852719359e-14, -427.30512765990784], [-213.65256382995412, -370.05709572083265], [-555.0856435812493, -320.4788457449307], [-402.86713787213904, -402.8671378721389]]	left	5	12	left	[ 110.59470511 -412.74505851]
6	1.2200987698533936	[[-142.43504255330262, 1.7443261894931912e-14], [338.6594384227398, 110.03712185872327], [288.08092505035154, 209.3030435562053], [-185.02854786041635, 106.82628191497703]]	left	5	8	left	[ -5.23297857e-14  -2.84870085e+02]
7	1.210536249254801	[[-109.0150619467311, -263.18564105474087], [-2.6164892842397864e-14, -142.43504255330262], [216.30087095538408, 449.15338663608685], [389.7607016619592, 310.82378760754625], [142.43504255330262, 0.0], [449.1533866360868, -216.30087095538417], [-110.03712185872332, -338.6594384227398], [631.2201039320228, -111.30113508881706], [-356.0876063832565, 4.360815473732977e-14], [-412.74505851245226, 110.5947051083482], [110.9317254397389, -486.0236453030718], [602.3032129289937, -219.22044150905273], [-558.7927725995479, 111.15079327241916], [109.015061946731, -263.18564105474087]]	right	15	4	right	[ 100.71678447  100.71678447]
8	1.3435821833372756	[[-110.93172543973908, -486.0236453030718], [-302.15035340410435, -302.15035340410407], [-338.65943842273987, -110.03712185872322], [-109.0150619467311, -263.18564105474087], [-216.30087095538414, -449.1533866360868], [71.21752127665131, 0.0], [109.015061946731, -263.18564105474087], [-783.3927340431644, 9.59379404221255e-14], [-412.74505851245226, 110.5947051083482], [201.4335689360695, 201.43356893606946], [-1.3082446421198932e-14, -71.21752127665131], [558.7927725995478, -111.15079327241922], [-71.21752127665131, 8.721630947465956e-15], [370.05709572083265, -213.65256382995412]]	left	15	4	left	[ 100.71678447 -100.71678447]
9	0.8013421341638605	[[-71.21752127665131, 8.721630947465956e-15], [449.1533866360868, -216.30087095538417], [110.9317254397389, -486.0236453030718], [-201.43356893606952, -201.43356893606946], [-100.71678446803476, -100.71678446803473], [216.30087095538397, -449.1533866360869], [-558.7927725995479, -111.15079327241902], [-110.59470510834802, 412.7450585124523], [526.3712821094819, 218.03012389346188], [100.71678446803472, -100.71678446803476], [-473.72163844036436, -316.530679125981], [-106.82628191497706, -185.02854786041632], [106.82628191497682, -185.02854786041647], [310.8237876075462, -389.7607016619593], [449.15338663608685, 216.30087095538406], [213.65256382995398, 370.05709572083276], [-449.1533866360868, 216.3008709553841], [-110.03712185872324, 338.65943842273987], [142.43504255330262, 0.0], [402.867137872139, 402.8671378721389], [-783.3927340431644, 9.59379404221255e-14], [-526.3712821094819, 218.03012389346193], [569.7401702132105, 0.0], [2.6164892842397864e-14, 427.30512765990784], [185.0285478604164, 106.82628191497695], [-402.86713787213904, -402.8671378721389], [-631.2201039320229, -111.30113508881684], [213.65256382995364, -370.05709572083293], [109.015061946731, -263.18564105474087]]	right	30	4	right	[  8.72163095e-15   1.42435043e+02]
10	0.7594989434219315	[[631.2201039320228, 111.30113508881703], [-712.175212766513, 8.721630947465955e-14], [110.59470510834817, 412.74505851245226], [1.7443261894931912e-14, 284.87008510660525], [449.1533866360868, -216.30087095538417], [-110.03712185872324, 338.65943842273987], [2.1804077368664886e-14, 356.0876063832565], [569.7401702132105, 0.0], [263.1856410547409, 109.01506194673094], [-288.0809250503515, 209.30304355620532], [-486.0236453030718, -110.93172543973893], [-216.30087095538403, 449.15338663608685], [677.3188768454796, 220.07424371744654], [2.6164892842397864e-14, 427.30512765990784], [-5.232978568479573e-14, -284.87008510660525], [370.0570957208328, 213.6525638299539], [-703.4071541103465, -111.40874842404196], [526.3712821094819, 218.03012389346188], [201.43356893606943, -201.43356893606952], [-110.93172543973895, 486.0236453030718], [389.76070166195916, -310.82378760754636], [-3.9247339263596795e-14, -213.65256382995392], [302.1503534041041, -302.1503534041043], [-677.3188768454796, 220.0742437174466], [-402.8671378721389, 402.867137872139], [-389.7607016619593, -310.8237876075462], [-631.2201039320228, 111.30113508881726], [-569.7401702132105, 6.977304757972765e-14], [310.8237876075462, -389.7607016619593]]	right	30	4	right	[ 142.43504255    0.        ]
11	1.205661048687034	[[-100.71678446803473, 100.71678446803475], [-486.0236453030718, 110.93172543973904], [473.72163844036425, -316.5306791259812], [-213.65256382995412, -370.05709572083265]]	left	5	12	left	[ -4.27305128e+02   5.23297857e-14]
12	3.937078551740342	[[-142.43504255330262, 1.7443261894931912e-14], [110.0371218587232, -338.65943842273987], [449.1533866360868, -216.30087095538417], [-110.59470510834802, 412.7450585124523], [402.867137872139, 402.8671378721389], [-216.30087095538414, -449.1533866360868], [-302.1503534041042, 302.15035340410424], [110.03712185872328, 338.6594384227398], [-5.232978568479573e-14, -284.87008510660525], [558.7927725995478, -111.15079327241922], [-1.3082446421198932e-14, -71.21752127665131], [-106.82628191497706, -185.02854786041632], [216.30087095538408, 449.15338663608685], [412.7450585124522, -110.59470510834842]]	right	15	12	right	[-110.59470511 -412.74505851]
