	RT	distractor_position	key_pressed	set_size	target_ecc	target_orientation	target_position
0	3.007991907739779	[[213.65256382995364, -370.05709572083293], [8.721630947465956e-15, 142.43504255330262], [-703.4071541103464, 111.40874842404214], [-338.6594384227398, 110.0371218587233], [602.303212928994, 219.22044150905228], [-631.2201039320228, 111.30113508881726], [110.59470510834788, -412.7450585124524], [677.3188768454796, -220.07424371744668], [412.7450585124523, 110.59470510834807], [-558.7927725995479, -111.15079327241902], [-370.0570957208329, -213.6525638299538], [110.03712185872328, 338.6594384227398], [142.43504255330262, 0.0], [-3.9247339263596795e-14, -213.65256382995392], [310.8237876075463, 389.7607016619592], [558.7927725995478, -111.15079327241922], [-555.0856435812493, -320.4788457449307], [302.1503534041041, -302.1503534041043], [213.65256382995392, 0.0], [558.7927725995479, 111.15079327241895], [-110.59470510834802, 412.7450585124523], [412.7450585124522, -110.59470510834842], [263.1856410547409, 109.01506194673094], [-9.157712494839252e-14, -498.52264893655916], [209.3030435562052, -288.0809250503516], [526.3712821094819, 218.03012389346188], [71.21752127665131, 0.0], [427.30512765990784, 0.0], [-677.3188768454797, -220.07424371744645]]	left	30	8	right	[  1.74432619e-14   2.84870085e+02]
1	1.837773567178374	[[-209.30304355620532, -288.0809250503515], [558.7927725995479, 111.15079327241895], [473.72163844036425, -316.5306791259812], [-370.0570957208329, -213.6525638299538]]	left	5	12	right	[ 370.05709572  213.65256383]
2	1.1113507213594858	[[449.15338663608685, 216.30087095538406], [110.03712185872328, 338.6594384227398], [-631.2201039320229, -111.30113508881684], [356.0876063832565, 0.0]]	right	5	4	left	[ 142.43504255    0.        ]
3	1.1370216458890354	[[-185.02854786041635, 106.82628191497703], [427.30512765990784, 0.0], [110.9317254397389, -486.0236453030718], [302.15035340410424, 302.1503534041042]]	right	5	8	left	[ 109.01506195 -263.18564105]
4	2.0046502571021847	[[-185.02854786041644, -106.8262819149769], [2.6164892842397864e-14, 427.30512765990784], [-209.30304355620532, -288.0809250503515], [-209.30304355620527, 288.08092505035154]]	left	5	12	right	[-110.59470511  412.74505851]
5	1.42123215419997	[[-302.1503534041042, 302.15035340410424], [209.3030435562053, 288.08092505035154], [-213.65256382995383, 370.0570957208328], [213.65256382995398, 370.05709572083276], [-370.0570957208329, -213.6525638299538], [-631.2201039320228, 111.30113508881726], [412.7450585124522, -110.59470510834842], [-1.3082446421198932e-14, -71.21752127665131], [263.1856410547409, 109.01506194673094], [-338.65943842273987, -110.03712185872322], [110.59470510834788, -412.7450585124524], [-412.7450585124524, -110.59470510834791], [389.76070166195916, -310.82378760754636], [-213.65256382995392, 2.6164892842397864e-14]]	right	15	12	left	[  2.61648928e-14   4.27305128e+02]
6	2.6231700891912624	[[-7.849467852719359e-14, -427.30512765990784], [427.30512765990784, 0.0], [106.82628191497682, -185.02854786041647], [-356.0876063832565, 4.360815473732977e-14], [109.01506194673095, 263.1856410547409], [1.7443261894931912e-14, 284.87008510660525], [-449.1533866360868, 216.3008709553841], [526.3712821094817, -218.03012389346222], [1.3082446421198932e-14, 213.65256382995392], [-569.7401702132105, 6.977304757972765e-14], [-389.7607016619593, -310.8237876075462], [213.65256382995398, 370.05709572083276], [338.6594384227398, -110.03712185872334], [703.4071541103465, 111.40874842404206]]	left	15	8	right	[ 263.18564105  109.01506195]
7	3.9447118043717637	[[302.15035340410424, 302.1503534041042], [370.0570957208328, 213.6525638299539], [-2.6164892842397864e-14, -142.43504255330262], [-302.1503534041042, 302.15035340410424], [-486.0236453030718, 110.93172543973904], [602.3032129289937, -219.22044150905273], [-100.71678446803473, 100.71678446803475], [-185.02854786041644, -106.8262819149769], [569.7401702132105, 0.0], [526.3712821094819, 218.03012389346188], [-370.0570957208327, 213.65256382995406], [-473.7216384403643, 316.5306791259812], [-449.1533866360868, 216.3008709553841], [-185.02854786041635, 106.82628191497703], [213.65256382995398, 370.05709572083276], [677.3188768454796, 220.07424371744654], [110.9317254397389, -486.0236453030718], [677.3188768454796, -220.07424371744668], [389.7607016619592, 310.82378760754625], [-216.30087095538414, -449.1533866360868], [486.0236453030718, 110.93172543973898], [-110.59470510834802, 412.7450585124523], [-110.03712185872332, -338.6594384227398], [-338.65943842273987, -110.03712185872322], [110.93172543973901, 486.0236453030718], [-263.1856410547409, 109.01506194673097], [-7.849467852719359e-14, -427.30512765990784], [-473.72163844036436, -316.530679125981], [-640.9576914898618, 7.849467852719359e-14]]	right	30	12	left	[ 110.59470511 -412.74505851]
8	1.9509095812791202	[[-338.6594384227398, 110.0371218587233], [473.72163844036425, 316.5306791259812], [-783.3927340431644, 9.59379404221255e-14], [-526.3712821094819, -218.03012389346182], [677.3188768454796, -220.07424371744668], [263.1856410547409, 109.01506194673094], [-338.65943842273987, -110.03712185872322], [402.86713787213887, -402.86713787213904], [-2.6164892842397864e-14, -142.43504255330262], [109.015061946731, -263.18564105474087], [110.03712185872328, 338.6594384227398], [302.1503534041041, -302.1503534041043], [-712.175212766513, 8.721630947465955e-14], [-142.43504255330262, 1.7443261894931912e-14]]	right	15	12	left	[-110.59470511  412.74505851]
9	1.065888478216948	[[498.52264893655916, 0.0], [370.0570957208328, 213.6525638299539], [-201.43356893606952, -201.43356893606946], [-100.71678446803476, -100.71678446803473]]	right	5	4	left	[ 100.71678447 -100.71678447]
