	RT	distractor_position	key_pressed	set_size	target_ecc	target_orientation	target_position
0	13.322481780876842	[[-110.59470510834802, 412.7450585124523], [201.4335689360695, 201.43356893606946], [449.15338663608685, 216.30087095538406], [-209.30304355620527, 288.08092505035154], [71.21752127665131, 0.0], [558.7927725995478, -111.15079327241922], [213.65256382995392, 0.0], [-602.303212928994, -219.22044150905222], [526.3712821094819, 218.03012389346188], [288.08092505035154, 209.3030435562053], [-7.849467852719359e-14, -427.30512765990784], [-1.3082446421198932e-14, -71.21752127665131], [216.30087095538397, -449.1533866360869], [209.3030435562052, -288.0809250503516], [389.76070166195916, -310.82378760754636], [-216.30087095538414, -449.1533866360868], [100.71678446803472, -100.71678446803476], [449.1533866360868, -216.30087095538417], [-558.7927725995479, -111.15079327241902], [-100.71678446803473, 100.71678446803475], [498.52264893655916, 0.0], [-526.3712821094819, -218.03012389346182], [-486.0236453030718, -110.93172543973893], [110.59470510834817, 412.74505851245226], [486.02364530307176, -110.93172543973911], [3.0525708316130845e-14, 498.52264893655916], [-9.157712494839252e-14, -498.52264893655916], [-109.0150619467311, -263.18564105474087], [-498.52264893655916, 6.105141663226169e-14]]	left	30	4	left	[  8.72163095e-15   1.42435043e+02]
1	2.9724653307785047	[[216.30087095538408, 449.15338663608685], [-677.3188768454797, -220.07424371744645], [526.3712821094817, -218.03012389346222], [263.18564105474087, -109.01506194673111], [473.72163844036425, -316.5306791259812], [-5.232978568479573e-14, -284.87008510660525], [-412.74505851245226, 110.5947051083482], [783.3927340431644, 0.0], [-201.43356893606946, 201.4335689360695], [356.0876063832565, 0.0], [-449.1533866360868, 216.3008709553841], [-558.7927725995479, 111.15079327241916], [-402.86713787213904, -402.8671378721389], [213.65256382995398, 370.05709572083276], [213.65256382995364, -370.05709572083293], [213.65256382995392, 0.0], [-7.849467852719359e-14, -427.30512765990784], [558.7927725995478, -111.15079327241922], [412.7450585124523, 110.59470510834807], [-473.7216384403643, 316.5306791259812], [8.721630947465956e-15, 142.43504255330262], [-302.15035340410435, -302.15035340410407], [486.0236453030718, 110.93172543973898], [-370.0570957208329, -213.6525638299538], [-473.72163844036436, -316.530679125981], [-640.9576914898618, 7.849467852719359e-14], [-498.52264893655916, 6.105141663226169e-14], [-9.157712494839252e-14, -498.52264893655916], [602.303212928994, 219.22044150905228]]	left	30	8	left	[-263.18564105 -109.01506195]
2	5.603744236050261	[[110.0371218587232, -338.65943842273987], [-110.03712185872332, -338.6594384227398], [109.015061946731, -263.18564105474087], [-185.02854786041635, 106.82628191497703], [498.52264893655916, 0.0], [213.65256382995392, 0.0], [8.721630947465956e-15, 142.43504255330262], [284.87008510660525, 0.0], [-558.7927725995479, 111.15079327241916], [-555.0856435812492, 320.4788457449308], [201.43356893606943, -201.43356893606952], [602.3032129289937, -219.22044150905273], [-110.93172543973895, 486.0236453030718], [-5.232978568479573e-14, -284.87008510660525], [-402.86713787213904, -402.8671378721389], [100.71678446803475, 100.71678446803473], [109.01506194673095, 263.1856410547409], [526.3712821094817, -218.03012389346222], [185.02854786041632, -106.82628191497706], [-213.65256382995412, -370.05709572083265], [310.8237876075462, -389.7607016619593], [602.303212928994, 219.22044150905228], [-302.1503534041042, 302.15035340410424], [-288.0809250503515, 209.30304355620532], [486.0236453030718, 110.93172543973898], [389.76070166195916, -310.82378760754636], [-7.849467852719359e-14, -427.30512765990784], [4.360815473732978e-15, 71.21752127665131], [-9.157712494839252e-14, -498.52264893655916]]	left	30	8	left	[ 263.18564105  109.01506195]
3	1.636832309930469	[[3.0525708316130845e-14, 498.52264893655916], [-449.15338663608685, -216.300870955384], [-216.30087095538403, 449.15338663608685], [310.8237876075462, -389.7607016619593]]	right	5	12	right	[-412.74505851  110.59470511]
4	3.121310488320887	[[-110.93172543973908, -486.0236453030718], [370.05709572083265, -213.65256382995412], [284.87008510660525, 0.0], [288.0809250503515, -209.30304355620538]]	right	5	4	right	[ -1.42435043e+02   1.74432619e-14]
5	5.154096929560183	[[-427.30512765990784, 5.232978568479573e-14], [201.4335689360695, 201.43356893606946], [-106.82628191497706, -185.02854786041632], [427.30512765990784, 0.0], [389.76070166195916, -310.82378760754636], [-677.3188768454797, -220.07424371744645], [302.15035340410424, 302.1503534041042], [-284.87008510660525, 3.4886523789863823e-14], [-389.7607016619593, -310.8237876075462], [213.65256382995364, -370.05709572083293], [-71.21752127665131, 8.721630947465956e-15], [109.01506194673095, 263.1856410547409], [110.9317254397389, -486.0236453030718], [185.0285478604164, 106.82628191497695]]	left	15	12	left	[ 370.05709572 -213.65256383]
6	8.493022250680951	[[338.6594384227398, -110.03712185872334], [1.3082446421198932e-14, 213.65256382995392], [2.6164892842397864e-14, 427.30512765990784], [284.87008510660525, 0.0], [-412.74505851245226, 110.5947051083482], [302.1503534041041, -302.1503534041043], [-338.65943842273987, -110.03712185872322], [-712.175212766513, 8.721630947465955e-14], [-370.0570957208329, -213.6525638299538], [263.18564105474087, -109.01506194673111], [263.1856410547409, 109.01506194673094], [677.3188768454796, 220.07424371744654], [-216.30087095538403, 449.15338663608685], [-201.43356893606952, -201.43356893606946], [-7.849467852719359e-14, -427.30512765990784], [-213.65256382995383, 370.0570957208328], [-449.15338663608685, -216.300870955384], [526.3712821094817, -218.03012389346222], [-486.0236453030718, -110.93172543973893], [-310.82378760754625, 389.7607016619593], [402.86713787213887, -402.86713787213904], [-402.86713787213904, -402.8671378721389], [473.72163844036425, -316.5306791259812], [185.0285478604164, 106.82628191497695], [288.08092505035154, 209.3030435562053], [558.7927725995478, -111.15079327241922], [288.0809250503515, -209.30304355620538], [-110.59470510834802, 412.7450585124523], [302.15035340410424, 302.1503534041042]]	left	30	8	left	[ -5.23297857e-14  -2.84870085e+02]
7	1.7870216998744581	[[449.15338663608685, 216.30087095538406], [473.72163844036425, 316.5306791259812], [-402.8671378721389, 402.867137872139], [-302.15035340410435, -302.15035340410407]]	left	5	8	left	[-201.43356894  201.43356894]
8	3.783489347919385	[[110.0371218587232, -338.65943842273987], [213.65256382995398, 370.05709572083276], [-526.3712821094819, -218.03012389346182], [-5.232978568479573e-14, -284.87008510660525], [338.6594384227398, 110.03712185872327], [402.867137872139, 402.8671378721389], [2.6164892842397864e-14, 427.30512765990784], [-209.30304355620532, -288.0809250503515], [106.82628191497699, 185.02854786041638], [-602.303212928994, -219.22044150905222], [-213.65256382995412, -370.05709572083265], [209.3030435562052, -288.0809250503516], [555.085643581249, -320.47884574493116], [-555.0856435812492, 320.4788457449308], [473.72163844036425, 316.5306791259812], [602.303212928994, 219.22044150905228], [486.0236453030718, 110.93172543973898], [-677.3188768454797, -220.07424371744645], [631.2201039320228, -111.30113508881706], [-558.7927725995479, -111.15079327241902], [263.1856410547409, 109.01506194673094], [-402.86713787213904, -402.8671378721389], [-370.0570957208329, -213.6525638299538], [703.4071541103465, 111.40874842404206], [-110.59470510834802, 412.7450585124523], [-389.7607016619592, 310.8237876075463], [-498.52264893655916, 6.105141663226169e-14], [106.82628191497682, -185.02854786041647], [370.0570957208328, 213.6525638299539]]	right	30	12	right	[ -7.84946785e-14  -4.27305128e+02]
9	1.0528988949081395	[[302.1503534041041, -302.1503534041043], [-526.3712821094819, 218.03012389346193], [703.4071541103465, 111.40874842404206], [677.3188768454796, -220.07424371744668]]	left	5	8	left	[ 109.01506195 -263.18564105]
