	RT	distractor_position	key_pressed	set_size	target_ecc	target_orientation	target_position
0	4.85286736190028	[[-71.21752127665131, 8.721630947465956e-15], [-783.3927340431644, 9.59379404221255e-14], [71.21752127665131, 0.0], [-106.82628191497706, -185.02854786041632]]	right	5	12	left	[ 370.05709572  213.65256383]
1	3.0492394080620215	[[-185.02854786041644, -106.8262819149769], [-310.82378760754625, 389.7607016619593], [-389.7607016619593, -310.8237876075462], [2.1804077368664886e-14, 356.0876063832565], [-106.82628191497692, 185.0285478604164], [-526.3712821094819, 218.03012389346193], [-402.8671378721389, 402.867137872139], [389.7607016619592, 310.82378760754625], [110.0371218587232, -338.65943842273987], [640.9576914898618, 0.0], [209.3030435562052, -288.0809250503516], [602.3032129289937, -219.22044150905273], [-110.03712185872332, -338.6594384227398], [631.2201039320228, 111.30113508881703]]	left	15	8	left	[ -5.23297857e-14  -2.84870085e+02]
2	1.2022988957969574	[[288.08092505035154, 209.3030435562053], [486.02364530307176, -110.93172543973911], [449.15338663608685, 216.30087095538406], [555.085643581249, -320.47884574493116], [302.15035340410424, 302.1503534041042], [-288.0809250503515, 209.30304355620532], [-100.71678446803476, -100.71678446803473], [288.0809250503515, -209.30304355620538], [-555.0856435812493, -320.4788457449307], [-356.0876063832565, 4.360815473732977e-14], [1.3082446421198932e-14, 213.65256382995392], [-185.02854786041644, -106.8262819149769], [-389.7607016619592, 310.8237876075463], [110.93172543973901, 486.0236453030718]]	left	15	4	left	[ 142.43504255    0.        ]
3	1.1704072617235397	[[-486.0236453030718, -110.93172543973893], [412.7450585124523, 110.59470510834807], [8.721630947465956e-15, 142.43504255330262], [-370.0570957208329, -213.6525638299538]]	right	5	8	right	[ 201.43356894 -201.43356894]
4	1.0918805666674416	[[-209.30304355620527, 288.08092505035154], [-449.15338663608685, -216.300870955384], [-703.4071541103464, 111.40874842404214], [-213.65256382995383, 370.0570957208328]]	right	5	8	right	[-201.43356894  201.43356894]
5	2.265594935791796	[[201.43356893606943, -201.43356893606952], [-677.3188768454796, 220.0742437174466], [213.65256382995392, 0.0], [412.7450585124523, 110.59470510834807], [4.360815473732978e-15, 71.21752127665131], [-473.7216384403643, 316.5306791259812], [-555.0856435812492, 320.4788457449308], [-110.59470510834802, 412.7450585124523], [703.4071541103464, -111.40874842404224], [-640.9576914898618, 7.849467852719359e-14], [338.6594384227398, 110.03712185872327], [-9.157712494839252e-14, -498.52264893655916], [209.3030435562053, 288.08092505035154], [-110.03712185872324, 338.65943842273987], [-498.52264893655916, 6.105141663226169e-14], [-110.93172543973908, -486.0236453030718], [-2.6164892842397864e-14, -142.43504255330262], [110.93172543973901, 486.0236453030718], [555.0856435812492, 320.4788457449308], [602.3032129289937, -219.22044150905273], [-109.01506194673092, 263.1856410547409], [-631.2201039320228, 111.30113508881726], [602.303212928994, 219.22044150905228], [-288.0809250503515, 209.30304355620532], [712.175212766513, 0.0], [106.82628191497699, 185.02854786041638], [427.30512765990784, 0.0], [-100.71678446803476, -100.71678446803473], [486.02364530307176, -110.93172543973911]]	right	30	12	right	[ 213.65256383  370.05709572]
6	1.8560487422018923	[[209.3030435562053, 288.08092505035154], [-412.7450585124524, -110.59470510834791], [-1.3082446421198932e-14, -71.21752127665131], [-201.43356893606952, -201.43356893606946], [-703.4071541103464, 111.40874842404214], [213.65256382995392, 0.0], [-402.8671378721389, 402.867137872139], [142.43504255330262, 0.0], [-602.303212928994, -219.22044150905222], [-100.71678446803476, -100.71678446803473], [-213.65256382995392, 2.6164892842397864e-14], [-201.43356893606946, 201.4335689360695], [109.01506194673095, 263.1856410547409], [703.4071541103465, 111.40874842404206]]	right	15	8	right	[ 263.18564105  109.01506195]
7	1.5935356883928762	[[-412.7450585124524, -110.59470510834791], [389.76070166195916, -310.82378760754636], [110.0371218587232, -338.65943842273987], [-602.303212928994, -219.22044150905222], [-449.15338663608685, -216.300870955384], [216.30087095538397, -449.1533866360869], [110.59470510834817, 412.74505851245226], [402.867137872139, 402.8671378721389], [4.360815473732978e-15, 71.21752127665131], [558.7927725995479, 111.15079327241895], [-9.157712494839252e-14, -498.52264893655916], [-389.7607016619592, 310.8237876075463], [310.8237876075463, 389.7607016619592], [-555.0856435812492, 320.4788457449308]]	left	15	12	left	[ -7.84946785e-14  -4.27305128e+02]
8	1.1026283806263564	[[-402.8671378721389, 402.867137872139], [-288.0809250503515, 209.30304355620532], [677.3188768454796, -220.07424371744668], [602.303212928994, 219.22044150905228]]	right	5	12	right	[-302.1503534 -302.1503534]
9	1.2001507014633717	[[-555.0856435812493, -320.4788457449307], [110.59470510834817, 412.74505851245226], [263.18564105474087, -109.01506194673111], [110.93172543973901, 486.0236453030718], [-5.232978568479573e-14, -284.87008510660525], [-498.52264893655916, 6.105141663226169e-14], [-110.93172543973895, 486.0236453030718], [-6.541223210599466e-14, -356.0876063832565], [-783.3927340431644, 9.59379404221255e-14], [-7.849467852719359e-14, -427.30512765990784], [-263.1856410547409, -109.01506194673091], [402.86713787213887, -402.86713787213904], [486.0236453030718, 110.93172543973898], [213.65256382995392, 0.0], [602.3032129289937, -219.22044150905273], [677.3188768454796, -220.07424371744668], [-412.74505851245226, 110.5947051083482], [-370.0570957208329, -213.6525638299538], [412.7450585124523, 110.59470510834807], [209.3030435562053, 288.08092505035154], [-216.30087095538403, 449.15338663608685], [-703.4071541103464, 111.40874842404214], [473.72163844036425, -316.5306791259812], [712.175212766513, 0.0], [558.7927725995479, 111.15079327241895], [-631.2201039320229, -111.30113508881684], [-209.30304355620532, -288.0809250503515], [-558.7927725995479, 111.15079327241916], [-213.65256382995392, 2.6164892842397864e-14]]	right	30	4	right	[-100.71678447  100.71678447]
10	1.229601918350454	[[-7.849467852719359e-14, -427.30512765990784], [-402.8671378721389, 402.867137872139], [569.7401702132105, 0.0], [-602.303212928994, -219.22044150905222]]	right	5	12	right	[ 213.65256383 -370.05709572]
